Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
15,A-0027,1184565,2016,Ram,1500,Laramie,GRAY,130500,No,"",2026-08-21,A
12,A-0032,1185119,2007,Mercedes-Benz,S Class,5.5L V8,BLACK,146526,No,"",2026-08-21,A
13,A-0035,1186302,2008,Mercedes-Benz,E Class,3.0L,SILVER,180088,No,"",2026-08-21,A
12,A-0037,1186575,2020,Acura,MDX,w/Technology Pkg,BLACK,169523,No,"",2026-08-21,A
12,A-0054,1184564,2005,Ford,F350SD,XL,WHITE,246714,No,"",2026-08-21,A
12,A-0060,1186631,2010,Ford,Mustang,V6 Premium,SILVER,180918,No,"",2026-08-21,A
13,A-0067,1186517,2013,BMW,X1,XDrive35i,ORANGE,120263,No,"",2026-08-21,A
12,A-0069,1186524,2017,Subaru,Forester,2.5i CVT,SILVER,166362,No,"",2026-08-21,A
13,B-0004,1185783,2016,Kia,Optima,EX,PURPLE,88032,No,"",2026-08-21,B
15,B-0005,1184309,2020,Honda,Accord,Sedan LX,WHITE,72889,No,"",2026-08-21,B
12,B-0011,1186085,2018,Cadillac,ATS,Sedan,SILVER,86152,No,"",2026-08-21,B
12,B-0014,1186080,2024,Nissan,Rogue,S,BLACK,96306,No,"",2026-08-21,B
13,B-0024,1186107,2014,Ford,F150,SVT Raptor,RED,184223,No,"",2026-08-21,B
13,B-0025,1185575,2021,Ford,Expedition Max,Limited MAX,BLACK,104926,No,"",2026-08-21,B
13,B-0027,1185572,2013,Ford,F450SD,LARIAT,WHITE,96459,No,"",2026-08-21,B
13,B-0029,1185561,2019,Ford,Ranger,XL,ORANGE,77777,No,"",2026-08-21,B
15,B-0030,1185521,2016,BMW,4-Series,428i,RED,124193,No,"",2026-08-21,B
13,B-0033,1185493,2016,Lexus,NX 200t,4dr,RED,102785,No,"",2026-08-21,B
12,B-0034,1185491,2022,Chevrolet,Silverado 2500,2500HD LT,WHITE,90300,No,"",2026-08-21,B
12,B-0038,1186274,2020,Chevrolet,Trax,LT,BLACK,97333,No,"",2026-08-21,B
13,B-0039,1184944,2020,Alfa Romeo,Giulia,Base,BLACK,26197,No,"",2026-08-21,B
14,B-0040,1184918,2010,Ford,F350SD,XL,BLACK,244542,No,"",2026-08-21,B
13,B-0041,1184865,2018,BMW,5-Series,540i,GRAY,72611,No,"",2026-08-21,B
12,B-0043,1184191,2017,Ford,Expedition EL,XLT,GRAY,74110,No,"",2026-08-21,B
13,B-0044,1184176,2015,Toyota,Tacoma,Base V6,BLUE,74780,No,"",2026-08-21,B
12,B-0045,1183538,2021,Chevrolet,Silverado 1500,Custom,SILVER,133165,No,"",2026-08-21,B
14,B-0046,1183504,2015,Chevrolet,Silverado 1500,LT,GREEN,135037,No,"",2026-08-21,B
15,B-0048,1182675,2018,Chevrolet,Silverado 1500,LT,GRAY,103379,No,"",2026-08-21,B
14,B-0049,1185014,2020,Chevrolet,Silverado 1500,Work Truck,WHITE,84520,No,"",2026-08-21,B
15,B-0052,1182080,2019,Chevrolet,Silverado 1500,LT,WHITE,133513,No,"",2026-08-21,B
15,B-0058,1185544,2014,Ford,F250SD,XL,WHITE,105141,No,"",2026-08-21,B
12,B-0060,1186653,2012,Volkswagen,CC,Sport,BLACK,108489,No,"",2026-08-21,B
12,BX-0005,1186655,2014,Nissan,Pathfinder,S,SILVER,131227,No,"",2026-08-21,BX
13,C-0013,1186503,2015,BMW,X3,XDrive28i,WHITE,173601,No,"",2026-08-21,C
13,C-0020,1181459,2021,Nissan,Rogue Sport,S,SILVER,95162,No,"",2026-08-21,C
13,C-0023,1185892,2021,Chevrolet,Blazer,LT,GRAY,95337,No,"",2026-08-21,C
13,C-0024,1185907,2014,Audi,Q5,Premium Plus,WHITE,133621,No,"",2026-08-21,C
15,C-0030,1186552,2018,Nissan,Sentra,SV,WHITE,142949,No,"",2026-08-21,C
