Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
15,B-0038,353708,2021,Ram,1500,Big Horn,BLACK,119325,No,"",2026-07-28,B
15,B-0040,353711,2021,Subaru,Forester,CVT,BLACK,146792,No,"",2026-07-28,B
15,B-0043,353745,2006,Subaru,B9 Tribeca,5-Pass Ltd,SILVER,195975,No,"",2026-07-28,B
15,B-0044,353751,2004,Toyota,RAV4,4dr Auto (Natl),GRAY,211198,No,"",2026-07-28,B
16,B-0045,353746,2013,GMC,Terrain,SLE,BLUE,149598,No,"",2026-07-28,B
15,B-0047,353752,2015,Kia,Optima,Hybrid 4dr Sdn,WHITE,163327,No,"",2026-07-28,B
15,B-0055,351644,2016,Land Rover,Range Rover Sport,V8 Dynamic,WHITE,125331,No,"",2026-07-28,B
15,B-0059,353939,2013,Volkswagen,Tiguan,S w/Sunroof,BLACK,114585,No,"",2026-07-28,B
31,FB-0025,352404,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,15088,Yes,4.0,2026-07-28,FB
25,FB-0026,352403,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,15437,Yes,4.0,2026-07-28,FB
30,FB-0029,352218,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,18863,Yes,4.0,2026-07-28,FB
29,FB-0030,352290,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,18904,Yes,3.8,2026-07-28,FB
30,FB-0031,352321,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,18967,Yes,4.0,2026-07-28,FB
15,FC-0049,353910,2018,Ford,Expedition,XL,WHITE,120887,No,"",2026-07-28,FC
31,S-0003,353294,2010,Ford,WINDSPORT SERIES M-34B,M-34B,WHITE,41478,Yes,1.0,2026-07-28,S
38,S-0023,353069,2021,Heartland,Pioneer series,BH322,SILVER,999999,Yes,1.0,2026-07-28,S
40,S-0026,352615,2016,Coachman,Concord,300ts,GOLD,23917,Yes,2.0,2026-07-28,S
27,S-0029,353230,2022,Keysto,285 CK,"",WHITE,999999,Yes,2.1,2026-07-28,S
29,S-0034,352087,2013,HEARTL,3010RE,"",WHITE,999999,Yes,"",2026-07-28,S
9,S-0047,353947,2011,Forest,Xlr thunderbolt,"",WHITE,999999,No,"",2026-07-28,S
8,S-0048,353923,2003,Osprey,190,"",WHITE,999999,Yes,"",2026-07-28,S
7,S-0051,353972,2006,Club,Cart,"",RED,999999,No,"",2026-07-28,S
9,S-0063,353065,2008,Chaparral,Boat,"",WHITE,999999,No,"",2026-07-28,S
15,VS-0002,353374,2016,Hyundai,Elantra,Limited,WHITE,126259,No,"",2026-07-28,VS
15,VS-0003,351209,2012,Mini,Cooper,Convertible 2dr,RED,154178,No,"",2026-07-28,VS
