Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
18,FM-0009,731712,2019,Subaru,Ascent,Limited,BLACK,73525,Yes,"",2026-08-12,FM
17,FM-0011,731733,2017,Subaru,Legacy,2.5i,BLUE,118362,Yes,"",2026-08-12,FM
29,FM-0014,730607,2021,Ford,F250SD,Lariat,BLACK,91049,Yes,4.4,2026-08-12,FM
17,FM-0015,731732,2019,Chevrolet,Colorado,ZR2,GRAY,54127,Yes,"",2026-08-12,FM
25,FM-0016,731735,2025,BMW,X1,XDrive28i,BLACK,19078,Yes,3.9,2026-08-12,FM
17,FM-0033,731730,2013,BMW,X3,XDrive28i,BLACK,101269,Yes,"",2026-08-12,FM
16,FM-0034,731398,2018,Acura,RDX,w/Technology Pkg,BLUE,116770,Yes,"",2026-08-12,FM
17,FM-0093,731817,2025,GMC,Sierra 2500,2500HD Denali,WHITE,54879,Yes,"",2026-08-12,FM
17,FM-0102,731786,2013,Jeep,Wrangler,Sport,ORANGE,77200,Yes,"",2026-08-12,FM
17,FM-0103,731790,2006,Nissan,Titan,LE,SILVER,179854,Yes,"",2026-08-12,FM
17,FM-0106,731789,2025,Chevrolet,Silverado 2500HD,Custom,GRAY,11332,Yes,"",2026-08-12,FM
17,FM-0108,731794,2008,BMW,3-Series,328i,WHITE,121880,Yes,"",2026-08-12,FM
17,FM-0109,731822,2020,Ford,F250SD,King Ranch,BLACK,108293,Yes,"",2026-08-12,FM
17,FM-0131,731773,2004,Ford,F250SD,XL,WHITE,113736,Yes,"",2026-08-12,FM
17,FM-0132,731775,2017,Toyota,Tundra,TRD Pro 5.7L V8,RED,101427,Yes,"",2026-08-12,FM
17,FM-0133,731776,2018,GMC,Sierra 1500,Denali,GRAY,53140,Yes,"",2026-08-12,FM
