Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
24,1S-0022,731419,2020,Kia,Telluride,SX,BLACK,47175,Yes,4.1,2026-07-27,1S
21,1S-0038,731488,2023,Kia,Telluride,S,SILVER,29502,Yes,5.0,2026-07-27,1S
22,1S-0057,731455,2021,Kia,Sorento,S,WHITE,70155,Yes,4.4,2026-07-27,1S
18,1S-0089,731486,2020,Volkswagen,Atlas,2.0T S,GRAY,72961,Yes,4.9,2026-07-27,1S
16,1S-0091,731487,2025,Buick,Enclave,Preferred,GRAY,17735,Yes,5.0,2026-07-27,1S
30,1S-0104,731447,2020,Ram,1500 DS,Tradesman,WHITE,85972,Yes,3.0,2026-07-27,1S
15,1S-0116,731470,2024,Chevrolet,Equinox,LT,WHITE,33683,Yes,4.8,2026-07-27,1S
31,1S-0121,731478,2020,Chevrolet,Silverado 2500,2500HD Custom,BLACK,149210,Yes,3.5,2026-07-27,1S
30,1S-0123,731480,2020,Ram,1500 DS,Tradesman,WHITE,82746,Yes,3.0,2026-07-27,1S
31,1S-0126,730483,2020,Ford,S/D C/C,XL,WHITE,39939,Yes,4.0,2026-07-27,1S
22,1S-0164,731068,2021,Ford,S/D C/C,XL,WHITE,174913,Yes,4.6,2026-07-27,1S
17,1S-0207,731502,2026,Jaguar,F-Pace,R-Dynamic S,GRAY,11325,Yes,4.8,2026-07-27,1S
