Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
15,A-0078,27669,2014,Ford,Expedition EL,Limited,WHITE,174444,No,"",2026-07-22,A
22,C-0054,28451,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,12341,Yes,4.0,2026-07-22,C
22,C-0055,28453,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,13253,Yes,3.6,2026-07-22,C
19,C-0056,28334,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,13360,Yes,4.6,2026-07-22,C
22,C-0057,27683,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,14061,Yes,3.3,2026-07-22,C
26,C-0059,27684,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,16526,Yes,3.9,2026-07-22,C
18,C-0060,26178,2025,Ford,T250 Vans,"T-250 130"" Low Rf 9070 GVWR",WHITE,15198,Yes,4.8,2026-07-22,C
18,C-0061,28454,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,17630,Yes,4.0,2026-07-22,C
26,D-0036,728120,2014,Audi,S8,4dr Sdn,GRAY,62206,Yes,3.7,2026-07-22,D
15,D-0046,28275,2016,Honda,Accord,Sedan LX,SILVER,162479,No,"",2026-07-22,D
16,D-0050,730060,2015,Ford,Expedition EL,King Ranch,BROWN,177906,No,"",2026-07-22,D
15,D-0051,26987,2009,Buick,Lucerne,CXL,BLUE,146602,No,"",2026-07-22,D
15,D-0052,26988,2009,Ford,E350 Vans,XL,WHITE,159026,No,"",2026-07-22,D
15,D-0061,27631,2012,Acura,MDX,Tech Pkg,BLUE,162671,No,"",2026-07-22,D
15,D-0067,28250,2015,Acura,ILX,Tech Pkg,BLACK,162381,No,"",2026-07-22,D
15,D-0079,28239,2013,BMW,5-Series,528i,BLACK,142543,No,"",2026-07-22,D
15,S-0003,28305,2014,Audi,S6,Prestige,RED,124519,No,"",2026-07-22,S
