Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
25,A-0012,119998,2022,BMW,Z4,sDrive30i,SILVER,41514,Yes,4.1,2026-08-20,A
27,AA-0003,259732,2014,INFINITI,QX60,4dr,GRAY,154661,Yes,3.8,2026-08-20,AA
30,AA-0051,259519,2023,Land Rover,Defender,First Edition,BURGUNDY,24512,Yes,4.1,2026-08-20,AA
24,AA-0053,259217,2021,Buick,Encore GX,Select,WHITE,90567,Yes,1.0,2026-08-20,AA
35,AA-0054,259510,2024,Honda,Pilot,Touring,GRAY,76598,Yes,1.9,2026-08-20,AA
24,AA-0056,258927,2015,Chevrolet,Silverado 1500,LS,WHITE,149285,Yes,3.9,2026-08-20,AA
32,AA-0060,258570,2013,Ford,F150,FX4,GRAY,132366,Yes,2.4,2026-08-20,AA
24,AA-0065,259527,2026,Ford,F250SD,XLT,WHITE,22262,Yes,4.1,2026-08-20,AA
23,AA-0073,259830,2019,Ford,Escape,Titanium,GRAY,64860,Yes,4.2,2026-08-20,AA
21,AA-0078,259826,2019,Chevrolet,Blazer,RS,WHITE,70808,Yes,4.4,2026-08-20,AA
31,AA-0082,258450,2011,Toyota,Highlander,Base,WHITE,168892,Yes,2.7,2026-08-20,AA
22,AA-0103,259631,2018,Jeep,All-New Wrangler,Sahara,WHITE,66322,Yes,4.9,2026-08-20,AA
25,AA-0105,259821,2020,Chevrolet,Silverado 1500,LT,BLACK,41024,Yes,3.7,2026-08-20,AA
21,AA-0110,259239,2021,Ford,Mustang Mach-E,Premium,GRAY,33048,Yes,3.8,2026-08-20,AA
34,AA-0122,258588,2022,Ram,1500,TRX,RED,43834,Yes,2.1,2026-08-20,AA
26,AA-0130,259385,2016,GMC,Sierra 2500,2500HD Denali,BLACK,165330,Yes,2.2,2026-08-20,AA
18,AA-0131,259864,2019,Ford,T250 Vans,"T-250 148"" EL Hi Rf 9000 GVWR Sliding RH",BLUE,72494,Yes,3.5,2026-08-20,AA
27,AA-0136,259957,2019,Nissan,Kicks,SR,ORANGE,40109,Yes,3.5,2026-08-20,AA
26,AA-0145,259433,2016,Volvo,XC90,T6 Inscription,BLUE,108197,Yes,4.3,2026-08-20,AA
25,AA-0165,259681,2019,Chevrolet,Equinox,LT,BLACK,122625,Yes,4.3,2026-08-20,AA
25,AA-0167,259323,2019,Mercedes-Benz,GLC,GLC 300,WHITE,70954,Yes,4.2,2026-08-20,AA
22,AA-0170,258428,2021,Jeep,Grand Cherokee,SRT,BLACK,64408,Yes,2.6,2026-08-20,AA
38,AA-0173,259133,2007,Lexus,LS 460,4dr Sdn,SILVER,226870,Yes,2.3,2026-08-20,AA
44,AA-0182,259189,2010,Ford,Taurus,Limited,WHITE,149205,Yes,1.9,2026-08-20,AA
26,AA-0185,259797,2018,Subaru,Forester,Limited,SILVER,105992,Yes,3.4,2026-08-20,AA
23,AA-0204,259849,2025,Nissan,Murano,SL,WHITE,8107,Yes,4.4,2026-08-20,AA
24,AA-0210,259925,2025,Mercedes-Benz,GLE,GLE 350,BLACK,18103,Yes,4.2,2026-08-20,AA
33,AA-0211,259937,2017,Mercedes-Benz,E-Class,E 300 Sport,SILVER,1,Yes,2.5,2026-08-20,AA
26,AA-0214,259958,2023,Chevrolet,Equinox,LT,BLACK,34353,Yes,2.6,2026-08-20,AA
29,AA-0216,259945,2024,Chevrolet,Blazer,LT,BLACK,44882,Yes,3.7,2026-08-20,AA
30,AA-0234,259966,2014,Chrysler,200,Limited,SILVER,107053,Yes,2.7,2026-08-20,AA
29,AA-0235,259947,2015,Chevrolet,Trax,LT,SILVER,119020,Yes,3.9,2026-08-20,AA
29,AA-0240,259894,2023,Mitsubishi,Outlander,SE Black Edition,RED,64437,Yes,3.2,2026-08-20,AA
28,AA-0245,260037,2013,Chevrolet,Equinox,LT,BLUE,155606,Yes,3.5,2026-08-20,AA
27,AA-0251,259921,2010,Nissan,Frontier,SE,WHITE,156306,Yes,3.3,2026-08-20,AA
26,AA-0257,259981,2018,Ram,2500,Tradesman,WHITE,107549,Yes,3.6,2026-08-20,AA
28,AA-0258,260008,2010,Chevrolet,Tahoe,LT,BLUE,151492,Yes,"",2026-08-20,AA
29,AA-0261,259988,2009,Hyundai,Sonata,GLS,WHITE,124527,Yes,3.6,2026-08-20,AA
25,AA-0263,260013,2019,Ford,Explorer,XLT,BLACK,83391,Yes,4.4,2026-08-20,AA
27,AA-0267,260043,2018,BMW,3-Series,330i,SILVER,52836,Yes,3.0,2026-08-20,AA
27,AA-0277,260085,2024,Nissan,Murano,Platinum,GRAY,27827,Yes,4.3,2026-08-20,AA
30,AA-0278,260083,2023,Buick,Envision,Preferred,WHITE,18709,Yes,4.1,2026-08-20,AA
30,AA-0281,260088,2020,Lincoln,Corsair,Reserve,GRAY,50373,Yes,3.2,2026-08-20,AA
25,AA-0282,260081,2025,Subaru,Crosstrek,Wilderness,SILVER,5696,Yes,4.2,2026-08-20,AA
26,BB-0028,256962,2016,Hyundai,Sonata,Hybrid SE,GRAY,163237,Yes,4.1,2026-08-20,BB
33,BB-0036,258506,2016,Fiat,500X,Easy,GRAY,83905,Yes,2.6,2026-08-20,BB
29,BB-0041,259658,2015,Chevrolet,Tahoe,Commercial,BLACK,106012,Yes,2.9,2026-08-20,BB
24,BB-0057,259058,2010,Jaguar,XK,2dr Cpe,RED,79094,Yes,2.3,2026-08-20,BB
23,BB-0067,259529,2021,Ford,F150,Lariat,BLUE,70003,Yes,4.4,2026-08-20,BB
32,BB-0069,259532,2018,Jeep,All-New Wrangler,Rubicon,GREEN,60271,Yes,3.2,2026-08-20,BB
21,BB-0074,259495,2025,Mercedes-Benz,GLE,GLE 450,SILVER,12685,Yes,4.9,2026-08-20,BB
30,BB-0075,259605,2020,Nissan,Murano,SV,BLACK,48077,Yes,3.5,2026-08-20,BB
24,BB-0077,259526,2025,Mercedes-Benz,EQE,EQE 350,GRAY,3142,Yes,4.8,2026-08-20,BB
21,BB-0078,259496,2025,Mercedes-Benz,GLC,GLC 300,WHITE,15393,Yes,4.9,2026-08-20,BB
