Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
16,A-0155,94358,2019,Jeep,Cherokee,Limited,BLACK,99876,No,"",2026-08-12,A
16,A-0172,94445,2022,Nissan,Rogue,Platinum,GRAY,99377,No,"",2026-08-12,A
17,B-0007,93974,2022,Kia,Telluride,EX,SILVER,117830,Yes,3.7,2026-08-12,B
18,B-0008,93169,2025,Subaru,Ascent,Touring,BLUE,13697,Yes,"",2026-08-12,B
18,B-0026,94401,2024,Volkswagen,Atlas,2.0T SE w/Technology,SILVER,122192,Yes,3.5,2026-08-12,B
15,B-0030,94394,2016,Chevrolet,Colorado,LT,BLACK,109898,Yes,3.6,2026-08-12,B
16,B-0076,93476,2026,GMC,Sierra 1500,SLT,BLACK,22282,No,"",2026-08-12,B
16,B-0171,89957,2008,BMW,X3,3.0si,BLACK,131191,No,"",2026-08-12,B
16,B-0172,94086,2015,Nissan,Rogue,SL,SILVER,58391,No,"",2026-08-12,B
17,B-0209,91907,2018,Jeep,Compass,Limited,RED,140452,Yes,4.3,2026-08-12,B
20,B-0212,92967,2008,Mercedes-Benz,S Class,5.5L V8,BLACK,236016,No,"",2026-08-12,B
16,B-0237,92285,2007,Toyota,Highlander,Hybrid Limited V6,BLACK,110905,No,"",2026-08-12,B
16,C-0076,93712,2013,Mercedes-Benz,GLK Class,GLK 350,BLACK,112857,No,"",2026-08-12,C
16,C-0094,93084,2018,Toyota,4Runner,SR5,WHITE,154417,No,"",2026-08-12,C
18,C-0104,93151,2019,GMC,Sierra 1500,SLT,BLACK,122314,Yes,3.9,2026-08-12,C
16,C-0105,93159,2012,Volkswagen,Beetle,2.5L,GRAY,78501,No,"",2026-08-12,C
20,C-0111,92428,2023,Honda,CR-V,Hybrid Sport,GRAY,54453,Yes,4.5,2026-08-12,C
30,D-0051,92363,2016,Chevrolet,Colorado,Z71,BLUE,163124,Yes,2.6,2026-08-12,D
30,D-0065,91193,2019,Chevrolet,Impala,LT,SILVER,94899,Yes,2.0,2026-08-12,D
19,D-0111,93554,2018,Ford,Edge,Titanium,GRAY,136101,No,"",2026-08-12,D
16,D-0124,92411,2012,Chevrolet,Silverado 1500,LT,BROWN,104852,No,"",2026-08-12,D
16,D-0140,92781,2015,Jeep,Cherokee,Limited,BLACK,151793,No,"",2026-08-12,D
17,D-0141,91971,2018,Chevrolet,Impala,LT,BLUE,153047,No,"",2026-08-12,D
16,D-0144,93179,2017,Nissan,Sentra,SV,GRAY,61065,No,"",2026-08-12,D
16,D-0147,93220,2004,Jeep,Liberty,Sport,SILVER,152878,No,"",2026-08-12,D
16,D-0150,94313,2015,Audi,A3,1.8T Premium,GRAY,104984,No,"",2026-08-12,D
16,D-0151,93742,2006,Chevrolet,Avalanche,Z66,BLUE,286626,No,"",2026-08-12,D
19,D-0153,93086,2017,Chrysler,Pacifica,Touring-L,SILVER,187405,No,"",2026-08-12,D
16,D-0154,93102,2003,Cadillac,DeVille,4dr Sdn,GOLD,96383,No,"",2026-08-12,D
15,D-0167,90362,2015,Chevrolet,Cruze,LT,SILVER,160735,No,"",2026-08-12,D
14,I-0006,91746,1992,Ford,E350 Vans,Super Custom,WHITE,1,No,"",2026-08-12,I
17,I-0022,93029,2018,Nissan,Pathfinder,S,SILVER,78381,No,"",2026-08-12,I
