Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
15,A-0008,705507,2006,Ford,F150,XLT,BURGUNDY,233245,No,"",2026-09-01,A
17,A-0010,705509,2017,Ford,Explorer,XLT,GRAY,88233,No,"",2026-09-01,A
16,A-0029,705487,2016,Honda,Pilot,Touring,GRAY,214678,No,"",2026-09-01,A
16,A-0035,705485,2011,Chevrolet,Traverse,LTZ,WHITE,171775,No,"",2026-09-01,A
15,A-0037,705614,2015,Ford,Edge,SEL,WHITE,199419,No,"",2026-09-01,A
15,A-0042,705334,2019,Ford,Escape,SE,RED,69632,No,"",2026-09-01,A
16,A-0044,704574,2007,Mazda,CX-9,Grand Touring,BLACK,214797,No,"",2026-09-01,A
15,A-0045,704879,2015,Nissan,Murano,SL,BLACK,188240,No,"",2026-09-01,A
16,A-0048,705523,2016,Ford,Fusion,SE,GRAY,96208,No,"",2026-09-01,A
36,B-0004,705440,2015,Lincoln,MKC,4dr,RED,122633,Yes,2.9,2026-09-01,B
39,B-0015,705171,2017,Genesis,G90,3.3T Premium,BLACK,90800,Yes,2.3,2026-09-01,B
38,B-0020,705436,2014,Honda,CR-V,EX,WHITE,144983,Yes,2.8,2026-09-01,B
37,B-0023,705429,2014,Cadillac,XTS,Luxury,RED,93322,Yes,2.3,2026-09-01,B
31,B-0024,705455,2013,Ford,Escape,SEL,GREEN,105084,Yes,3.2,2026-09-01,B
33,B-0028,705190,2015,Volkswagen,Eos,Komfort,BLACK,134128,Yes,2.3,2026-09-01,B
38,B-0029,705496,2001,Dodge,Grand Caravan,Sport,GRAY,103454,Yes,2.7,2026-09-01,B
30,B-0030,705167,2017,Ford,Explorer,XLT,WHITE,163636,Yes,3.8,2026-09-01,B
15,B-0032,705467,2007,Dodge,Ram 2500,SLT,SILVER,165159,No,"",2026-09-01,B
15,B-0034,705494,2014,Ford,Escape,SE,BLUE,1,No,"",2026-09-01,B
44,B-0035,705498,2013,Ford,F150,XLT,BLUE,217692,Yes,2.7,2026-09-01,B
31,B-0039,705568,2016,Chevrolet,Suburban,LT,BLACK,185307,Yes,3.1,2026-09-01,B
16,B-0040,705223,2009,Acura,MDX,4dr,BLACK,220108,No,"",2026-09-01,B
33,B-0042,701963,2013,Volkswagen,Jetta,Sedan TDI w/Premium/Nav,WHITE,108915,Yes,2.7,2026-09-01,B
