Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
8,A-524.4,320546,2020,Mercedes-Benz,GLB,250 GLB 250 SUV,BLUE,66297,No,"",2026-08-03,A
9,A-528,319782,2016,INFINITI,Q50,"",WHITE,80032,No,"",2026-08-03,A
7,A-544,317995,2012,Chevrolet,Colorado,2LT,BLUE,197416,No,"",2026-08-03,A
7,A-544.5,320331,2016,Scion,FR-S,"",BLACK,116425,No,"",2026-08-03,A
8,A-803,320376,2012,Volkswagen,Tiguan,"",RED,125701,No,"",2026-08-03,A
8,B-527,320038,2018,Ford,Escape,"",SILVER,84651,No,"",2026-08-03,B
6,B-540,319927,2009,Acura,TL,3.5TL W/TECH PKG.,BURGUNDY,176897,No,"",2026-08-03,B
8,B-548,319871,2005,Ford,Mustang,"",BLUE,198760,No,"",2026-08-03,B
8,B-557,320093,2016,Chevrolet,Impala,"",WHITE,205935,No,"",2026-08-03,B
8,B-609,320462,2021,Chevrolet,Trax,"",BLUE,80365,No,"",2026-08-03,B
8,B-610,320492,2016,Acura,MDX,W/TECH/ACURAWATC,BLACK,166772,No,"",2026-08-03,B
6,B-801,319760,2013,Chrysler,Town & Country,TOURI,BURGUNDY,145119,No,"",2026-08-03,B
8,B-823,320479,2012,Chevrolet,Traverse,LT W/2LT,BLUE,179990,No,"",2026-08-03,B
0,B-829,320518,2017,GMC,Acadia Limited,LIMIT,BLACK,121598,No,"",2026-08-03,B
9,I-014,307261,2014,Jeep,Cherokee,Limited,GRAY,105045,No,"",2026-08-03,I
8,I-017,317639,2011,Kia,Sorento,"",GRAY,234682,No,"",2026-08-03,I
5,I-019,320052,2016,Chevrolet,Malibu,LS (1LS),BLACK,145041,No,"",2026-08-03,I
