Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
35,A-015,557292,2016,Kia,Optima,EX,GRAY,99906,Yes,4.5,2026-08-14,A
36,A-019,560817,2025,Ram,3500,Tradesman,GRAY,19885,Yes,3.0,2026-08-14,A
36,A-212,560307,2023,Chevrolet,Tahoe,RST,BLUE,68423,Yes,4.2,2026-08-14,A
34,A-247,560758,2020,Ram,1500,Limited,WHITE,96686,Yes,4.5,2026-08-14,A
40,A-294,561315,2022,Cadillac,Escalade,ESV SPORT P,GRAY,79140,Yes,4.1,2026-08-14,A
22,B-098,557799,2018,Volkswagen,Atlas,3.6L V6 SEL,GRAY,114628,No,"",2026-08-14,B
22,B-227,560781,2019,Nissan,Altima,2.5 PLATINUM,BLACK,69964,No,"",2026-08-14,B
22,B-265,560076,2016,Ford,F150,XLT,WHITE,150862,No,"",2026-08-14,B
47,B-267,558980,2017,Chevrolet,Equinox,LS,BLACK,129197,Yes,3.1,2026-08-14,B
37,B-271,556570,2024,Ford,F350SD,"",BLACK,50697,Yes,4.2,2026-08-14,B
38,B-274,558227,2024,Ford,F350SD,"",GRAY,84546,Yes,3.0,2026-08-14,B
40,B-288,553851,2011,Mitsubishi,Endeavor,LS,SILVER,203582,Yes,3.1,2026-08-14,B
32,B-289,557031,2020,Toyota,Tacoma,SR,SILVER,73120,Yes,4.4,2026-08-14,B
35,C-017,550831,2019,Ram,1500,BIG HORN/LONE S,RED,70674,Yes,4.3,2026-08-14,C
33,C-052,561610,2023,Ford,Bronco Sport,BIG BEN,BLUE,79256,Yes,4.9,2026-08-14,C
22,C-079,559055,2020,Honda,Accord,SEDAN LX,RED,95347,No,"",2026-08-14,C
33,C-111,561014,2025,Chevrolet,Silverado 1500,RST,RED,39855,Yes,4.2,2026-08-14,C
36,C-116,552838,2022,Chevrolet,Silverado 1500,CUSTO,BLUE,80604,Yes,4.4,2026-08-14,C
38,C-140,557305,2018,Toyota,Camry,HYBRID SE,GRAY,172987,Yes,4.1,2026-08-14,C
32,C-157,560916,2026,Buick,Enclave,Avenir,WHITE,4606,Yes,4.7,2026-08-14,C
38,C-198,558240,2021,Kia,Sorento,S,GRAY,69473,Yes,4.2,2026-08-14,C
41,C-260,558929,2024,Buick,Envista,Avenir,WHITE,75384,Yes,3.6,2026-08-14,C
45,D-027,561033,2008,Ford,F250SD,"",WHITE,126336,Yes,3.2,2026-08-14,D
48,D-059,555643,2006,Ford,F350SD,"",BLACK,166089,Yes,3.0,2026-08-14,D
41,D-065,552585,2017,Ford,F150,XLT,WHITE,179572,Yes,3.0,2026-08-14,D
39,D-073,558509,2011,Mercedes-Benz,SL Class,SL 550,BLACK,82761,Yes,3.3,2026-08-14,D
40,D-253,559939,2017,Ram,3500,Tradesman,WHITE,117722,Yes,3.4,2026-08-14,D
23,D-258,556243,2014,Ram,2500,Tradesman,WHITE,124901,No,"",2026-08-14,D
22,D-265,560481,2007,Ford,F450SD,"",WHITE,289695,No,"",2026-08-14,D
41,D-301,559343,2016,Ford,Explorer,XLT,BLUE,104483,Yes,3.3,2026-08-14,D
39,D-320,559374,2022,Lincoln,Aviator,Reserve,BLACK,59628,Yes,4.3,2026-08-14,D
34,D-321,559386,2022,Jeep,Wrangler,Sport,RED,30142,Yes,4.9,2026-08-14,D
42,D-324,556879,2019,Mercedes-Benz,A-Class,"",WHITE,71633,Yes,3.0,2026-08-14,D
35,E-131,561773,2023,Subaru,Outback,Premium,BLACK,89387,Yes,4.1,2026-08-14,E
35,E-222,558277,2024,Kia,Telluride,SX,WHITE,27631,Yes,4.7,2026-08-14,E
6,E-264,557151,2015,Ford,F150,XLT,BLUE,181976,No,"",2026-08-14,E
34,E-275,559035,2023,Hyundai,Santa Fe,Calligraphy,SILVER,38859,Yes,4.0,2026-08-14,E
22,F-026,557667,2019,Ford,F150,XLT,RED,132152,No,"",2026-08-14,F
22,F-162,560834,2014,Subaru,Forester,2.5i,SILVER,152253,No,"",2026-08-14,F
41,F-165,556319,2018,Ford,Expedition,Limited,BLACK,101885,Yes,3.9,2026-08-14,F
22,F-177,556239,2007,Chevrolet,Silverado 2500,2500HD LTZ,BROWN,163124,No,"",2026-08-14,F
37,F-180,556294,2024,Chevrolet,Malibu,LT,GRAY,40011,Yes,3.0,2026-08-14,F
34,F-185,560824,2026,INFINITI,QX60,Autograph,GREEN,5769,Yes,4.9,2026-08-14,F
40,F-187,560826,2019,Kia,Soul,BASE,GRAY,70904,Yes,3.1,2026-08-14,F
22,F-194,561218,2014,Ford,Mustang,V6 PREMIUM,BLACK,179075,No,"",2026-08-14,F
32,F-201,560913,2022,Kia,Forte,LXS,RED,30766,Yes,4.3,2026-08-14,F
36,F-219,555869,2022,Honda,Odyssey,Elite,GRAY,38134,Yes,3.8,2026-08-14,F
35,F-221,555996,2021,Land Rover,Range Rover Velar,S,GRAY,46983,Yes,4.2,2026-08-14,F
8,F-279,552107,2016,Ford,E-350 CUTAWAY E-350,"",WHITE,115498,No,"",2026-08-14,F
19,G-038,554625,2023,Dodge,Challenger,"",BLUE,30,Yes,5.0,2026-08-14,G
10,X-076,539096,2023,Jeep,Grand Cherokee,SUMMI,SILVER,1,No,"",2026-08-14,X
6,X-111,558921,2017,Honda,Civic,SEDAN EX-L,BLUE,70366,No,"",2026-08-14,X
42,X-113,534690,2020,Land Rover,Range Rover Sport,HS,BLACK,74713,Yes,4.0,2026-08-14,X
