Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
41,A-022,65759,2014,Mercedes-Benz,E Class,E 350 LUXURY,BLACK,122618,Yes,3.7,2026-08-25,A
50,A-025,65859,2015,GMC,Yukon XL,DENALI,GOLD,105690,Yes,3.3,2026-08-25,A
40,A-029,64116,2023,Ford,Escape,ACTIVE,BLACK,88502,Yes,4.2,2026-08-25,A
21,A-034,33984,2016,Chevrolet,Trax,LT,RED,145879,No,"",2026-08-25,A
59,A-042,65688,2016,Nissan,Murano,SL,WHITE,48072,Yes,2.1,2026-08-25,A
20,A-045,65720,2016,GMC,Canyon,SLE,BLACK,127073,No,"",2026-08-25,A
42,A-049,35150,2017,Hyundai,Santa Fe Sport,2.4L,BLACK,103188,Yes,2.8,2026-08-25,A
21,A-050,63495,2016,Chevrolet,Traverse,LT,BLACK,157080,No,"",2026-08-25,A
21,A-052,65011,2015,Cadillac,ATS,SEDAN PREMIUM AW,BLACK,142188,No,"",2026-08-25,A
20,A-054,65043,2017,Chevrolet,Equinox,LT,GRAY,162217,No,"",2026-08-25,A
37,A-061,65807,2018,Jeep,All-New Wrangler,"",SILVER,101059,Yes,4.4,2026-08-25,A
37,A-063,65811,2015,Jeep,Wrangler,UNLIMITED S,SILVER,107759,Yes,4.3,2026-08-25,A
26,A-068,65850,2018,Ram,PROMASTER CHASSIS CA,"",WHITE,89274,Yes,2.7,2026-08-25,A
52,A-070,63714,2023,Chevrolet,Traverse,LS,BLACK,48579,Yes,2.4,2026-08-25,A
39,A-071,64245,2025,GMC,Sierra 1500,SLT,BLACK,31263,Yes,4.2,2026-08-25,A
40,A-073,65315,2023,Ram,1500 DS,"",WHITE,115062,Yes,4.4,2026-08-25,A
38,A-074,65317,2023,Jeep,Grand Cherokee L,SUM,BLUE,39394,Yes,4.6,2026-08-25,A
32,A-076,65319,2025,Honda,Accord,HYBRID SPORT-,RED,19615,Yes,4.8,2026-08-25,A
33,A-078,65321,2023,Jeep,Grand Cherokee,LIMIT,BLACK,48802,Yes,4.7,2026-08-25,A
39,A-080,65469,2024,INFINITI,QX50,Sport,GRAY,38994,Yes,4.8,2026-08-25,A
21,A-082,65948,2019,Honda,Civic,HATCHBACK SPOR,BLACK,89742,No,"",2026-08-25,A
21,A-086,65104,2015,Chevrolet,Silverado 1500,LT,GREEN,145895,No,"",2026-08-25,A
36,A-090,65831,2026,Toyota,Corolla,LE,BLACK,9584,Yes,4.4,2026-08-25,A
43,A-092,64969,2022,Chevrolet,Silverado 1500,CUSTO,BLACK,91579,Yes,4.3,2026-08-25,A
39,A-093,64960,2023,GMC,Sierra 1500,AT4,GRAY,79715,Yes,4.2,2026-08-25,A
40,A-094,64959,2022,Chevrolet,Silverado 1500,CUSTO,SILVER,71565,Yes,3.9,2026-08-25,A
20,A-095,65885,1996,Chevrolet,Corvette,2DR CONVERT,WHITE,45201,No,"",2026-08-25,A
47,A-099,65520,2019,Cadillac,Escalade,ESV Premium,BLACK,114102,Yes,3.8,2026-08-25,A
21,A-100,65521,2014,Ford,F150,FX4,BLUE,134598,No,"",2026-08-25,A
