Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
9,B-029,183490,2016,Mercedes-Benz,Sprinter 3500,"",WHITE,111703,Yes,3.5,2026-07-30,B
9,B-049,183127,2017,Ford,F150,XL,WHITE,185794,Yes,3.8,2026-07-30,B
23,B-051,183412,2013,Ford,F150,FX4,RED,162526,Yes,3.5,2026-07-30,B
19,B-052,183462,2010,Chevrolet,Silverado 1500,LTZ,WHITE,428523,Yes,"",2026-07-30,B
19,B-054,183499,2019,Ford,Expedition Max,"",GRAY,140523,Yes,3.9,2026-07-30,B
21,B-065.1,183605,2015,Jeep,Compass,"",GRAY,164888,Yes,2.9,2026-07-30,B
18,B-068,183689,2016,Kia,Sorento,"",BLACK,108986,Yes,3.8,2026-07-30,B
18,B-069,183669,2013,Nissan,Pathfinder,SL,SILVER,214609,Yes,"",2026-07-30,B
23,B-072,183719,2014,Dodge,Durango,"",GRAY,142978,Yes,2.5,2026-07-30,B
15,B-073,183497,2002,Honda,Accord,"",BROWN,153072,Yes,"",2026-07-30,B
23,B-090,183316,2024,Hyundai,Palisade,XRT,GRAY,56933,Yes,4.4,2026-07-30,B
12,B-097,181386,2011,Hyundai,Santa Fe,Limited,GRAY,214597,Yes,2.5,2026-07-30,B
15,B-098,183728,2015,Toyota,Camry,LE,BLACK,262327,Yes,"",2026-07-30,B
15,I-001,183506,2015,Chevrolet,Spark,"",RED,121988,Yes,"",2026-07-30,I
16,I-003,183690,2006,Toyota,Sienna,LE,BLUE,253260,Yes,"",2026-07-30,I
