Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane
28,A-0030,20693,2023,Volkswagen,Tiguan,SE R-Line Black,WHITE,25245,Yes,"",2026-08-26,A
22,A-0042,20819,2021,Jeep,Wrangler,4xe Unlimited Rubicon,WHITE,106408,Yes,"",2026-08-26,A
20,A-0058,20665,2019,Mercedes-Benz,G-Class,4MATIC,SILVER,43669,Yes,"",2026-08-26,A
30,A-0065,20788,2012,BMW,X5,35i,GRAY,156054,Yes,"",2026-08-26,A
26,A-0073,20786,2017,Audi,Q7,Prestige,GRAY,103640,Yes,"",2026-08-26,A
29,A-0074,20804,2019,Honda,Accord,Sedan Sport 1.5T,WHITE,124075,Yes,"",2026-08-26,A
27,A-0076,20696,2003,Dodge,Viper,SRT-10,BLACK,9624,Yes,"",2026-08-26,A
26,R-0006,20591,2015,Chevrolet,Tahoe,LT,BLACK,196359,Yes,"",2026-08-26,R
32,R-0010,20765,2018,Ford,Explorer,XLT,BLUE,147789,Yes,"",2026-08-26,R
37,R-0015,19771,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,20349,Yes,3.6,2026-08-26,R
27,R-0016,19791,2025,GMC,Savana Cargo,"Van 2500 135""",WHITE,16983,Yes,3.7,2026-08-26,R
27,R-0017,19859,2025,Chevrolet,Express Cargo,"Van 2500 135""",WHITE,12508,Yes,3.8,2026-08-26,R
27,R-0018,20094,2025,Ram,2500 ProMaster Vans,Tradesman,WHITE,18973,Yes,3.7,2026-08-26,R
