Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
13,SB-0123,1187022,2016,Acura,RDX,4dr,BROWN,128521,No,"",2026-08-28,SB,9400.0
12,E-0230,1186415,2008,Acura,TL,Nav,GRAY,150113,No,"",2026-08-28,E,600.0
13,SG-0029,1187037,2018,Audi,A4,Premium,GRAY,96083,No,"",2026-08-28,SG,8600.0
15,E-0185,1187244,2023,Audi,A5 S-Line,S line Prestige,BLACK,68856,No,"",2026-08-28,E,17500.0
25,D-0019,1183927,2014,Audi,A6,3.0L TDI Premium Plus,SILVER,76584,Yes,4.5,2026-08-28,D,10600.0
12,D-0142,1185375,2010,Audi,A6,3.0T Premium Plus,BLACK,118024,No,"",2026-08-28,D,700.0
13,SB-0108,1187112,2017,Audi,A8,L 3.0 TFSI,WHITE,116752,No,"",2026-08-28,SB,12200.0
15,E-0168,1187080,2017,Audi,Q7,Prestige,WHITE,152546,No,"",2026-08-28,E,4500.0
28,E-0166,1186967,2020,BMW,3-Series,330i,BLACK,86046,Yes,3.9,2026-08-28,E,14600.0
13,E-0041,1187196,2020,BMW,4-Series,430i,BLACK,129149,No,"",2026-08-28,E,9500.0
12,SB-0063,1186871,2016,BMW,5-Series,528i,BLACK,136208,No,"",2026-08-28,SB,5000.0
15,C-0013,1186351,2015,BMW,X1,XDrive28i,BLACK,102177,No,"",2026-08-28,C,2000.0
12,SB-0131,1186405,2015,BMW,X1,XDrive28i,WHITE,125348,No,"",2026-08-28,SB,3000.0
13,SB-0006,1186801,2020,BMW,X3,XDrive30i,WHITE,88304,No,"",2026-08-28,SB,13000.0
13,E-0184,1187243,2015,BMW,X5,sDrive35i,WHITE,148136,No,"",2026-08-28,E,6800.0
13,SB-0077,1187150,2013,BMW,X5,XDrive35i,BLACK,138244,No,"",2026-08-28,SB,5800.0
15,SB-0061,1186832,2015,BMW,X6,XDrive50i,GRAY,86258,No,"",2026-08-28,SB,14000.0
15,E-0164,1186964,2016,Buick,Enclave,Leather,WHITE,199733,No,"",2026-08-28,E,2000.0
15,A-0017,1187182,2020,Buick,Encore GX,Select,BLUE,39457,No,"",2026-08-28,A,13500.0
30,CL-0043,1181032,2017,Buick,LaCrosse,Essence,WHITE,215187,Yes,2.8,2026-08-28,CL,1500.0
12,V-0001,1187262,2017,Buick,LaCrosse,Essence,GREEN,102550,No,"",2026-08-28,V,7800.0
15,A-0059,1185721,2012,Buick,LaCrosse,Leather,BROWN,76967,No,"",2026-08-28,A,3500.0
4,IO-0021,1186723,2010,Buick,LaCrosse,CXS,RED,1,No,"",2026-08-28,IO,400.0
13,SB-0052,1186792,2024,Cadillac,CT5,Premium Luxury,WHITE,57303,No,"",2026-08-28,SB,27400.0
13,SB-0088,1186938,2018,Cadillac,CTS,Sedan Premium Luxury,BLACK,54283,No,"",2026-08-28,SB,13000.0
13,B-0008,1186925,2014,Cadillac,CTS,Sedan Luxury,GRAY,125160,No,"",2026-08-28,B,1500.0
33,SB-0142,1185530,2004,Cadillac,CTS,4dr Sdn,SILVER,111930,Yes,3.4,2026-08-28,SB,1200.0
12,SB-0062,1186833,2018,Cadillac,Escalade,Platinum,WHITE,121398,No,"",2026-08-28,SB,21400.0
14,SB-0059,1187175,2018,Cadillac,Escalade,Platinum,WHITE,85390,No,"",2026-08-28,SB,26600.0
13,SB-0001,1187139,2017,Cadillac,Escalade,ESV Luxury,GRAY,146037,No,"",2026-08-28,SB,14100.0
13,A-0010,1187121,2017,Cadillac,Escalade,Luxury,WHITE,118907,No,"",2026-08-28,A,17500.0
13,SB-0099,1186962,2016,Cadillac,Escalade,Platinum,BLACK,90124,No,"",2026-08-28,SB,20200.0
13,SG-0099,1187109,2013,Cadillac,SRX,Premium Collection,BLACK,133391,No,"",2026-08-28,SG,3000.0
13,SG-0101,1187111,2010,Cadillac,SRX,Luxury Collection,SILVER,152128,No,"",2026-08-28,SG,1000.0
15,B-0049,1186754,2019,Cadillac,XT4,Premium Luxury,GRAY,100875,No,"",2026-08-28,B,7800.0
12,E-0129,1186859,2015,Cadillac,XTS,Luxury,SILVER,152794,No,"",2026-08-28,E,4200.0
13,E-0170,1186883,2014,Cadillac,XTS,Luxury,BLACK,129787,No,"",2026-08-28,E,4200.0
13,D-0026,1187300,2013,Cadillac,XTS,Luxury,WHITE,148578,No,"",2026-08-28,D,1600.0
13,E-0238,1185884,2008,Chevrolet,Avalanche,LS,WHITE,194068,No,"",2026-08-28,E,3000.0
13,SG-0037,1187050,2021,Chevrolet,Camaro,1LS,GRAY,26630,No,"",2026-08-28,SG,15100.0
15,SB-0025,1186757,2020,Chevrolet,Camaro,1LT,RED,132419,No,"",2026-08-28,SB,8000.0
12,SG-0075,1186942,2020,Chevrolet,Colorado,LT,WHITE,68242,No,"",2026-08-28,SG,11000.0
13,SB-0106,1187166,2019,Chevrolet,Colorado,Work Truck,BLACK,161269,No,"",2026-08-28,SB,6000.0
13,E-0083,1187097,2019,Chevrolet,Colorado,Work Truck,WHITE,119733,No,"",2026-08-28,E,12800.0
13,E-0140,1186811,2015,Chevrolet,Cruze,LT,BROWN,148812,No,"",2026-08-28,E,700.0
12,E-0017,1187038,2021,Chevrolet,Equinox,LT,SILVER,102020,No,"",2026-08-28,E,9000.0
15,CL-0088,1185994,2019,Chevrolet,Equinox,LT,BLACK,138561,No,"",2026-08-28,CL,5200.0
13,E-0183,1187238,2018,Chevrolet,Equinox,LT,WHITE,123343,No,"",2026-08-28,E,7800.0
4,IO-0008,1187138,2016,Chevrolet,Impala,LT,SILVER,1,No,"",2026-08-28,IO,600.0
13,CL-0098,1185703,2006,Chevrolet,Impala,SS,WHITE,166963,No,"",2026-08-28,CL,1700.0
13,E-0249,1185528,2023,Chevrolet,Malibu,LS,WHITE,184075,No,"",2026-08-28,E,3900.0
28,CL-0025,1184848,2021,Chevrolet,Malibu,LT,SILVER,139599,Yes,3.1,2026-08-28,CL,3400.0
13,E-0205,1187098,2019,Chevrolet,Malibu,LT,BLUE,119252,No,"",2026-08-28,E,8900.0
13,A-0029,1187190,2016,Chevrolet,Malibu,LT,GRAY,106563,No,"",2026-08-28,A,3600.0
13,E-0208,1187069,2015,Chevrolet,Malibu,LS,SILVER,114345,No,"",2026-08-28,E,3000.0
13,E-0245,1185877,2013,Chevrolet,Malibu,LTZ,BLUE,350441,No,"",2026-08-28,E,600.0
20,E-0147,1186324,2024,Chevrolet,Silverado 1500,High Country,BLACK,37687,Yes,4.7,2026-08-28,E,44000.0
21,E-0156,1186977,2023,Chevrolet,Silverado 1500,RST,BLACK,42595,Yes,4.9,2026-08-28,E,37000.0
12,E-0111,1186867,2019,Chevrolet,Silverado 1500,LT,SILVER,208036,No,"",2026-08-28,E,8400.0
13,B-0014,1186703,2019,Chevrolet,Silverado 1500,LT,RED,97354,No,"",2026-08-28,B,18600.0
13,E-0077,1187155,2018,Chevrolet,Silverado 1500,LT,SILVER,82624,No,"",2026-08-28,E,22000.0
13,E-0110,1186593,2018,Chevrolet,Silverado 1500,LT,WHITE,116452,No,"",2026-08-28,E,13200.0
13,SG-0085,1184981,2024,Chevrolet,Silverado 2500,2500HD Custom,BLACK,95453,No,"",2026-08-28,SG,29500.0
38,E-0059,1185179,2019,Chevrolet,Sonic,Premier,BLACK,135156,Yes,3.4,2026-08-28,E,4000.0
15,SG-0036,1186560,2020,Chevrolet,Spark,LT,RED,182420,No,"",2026-08-28,SG,3000.0
13,A-0021,1186714,2022,Chevrolet,Suburban,Z71,WHITE,89425,No,"",2026-08-28,A,35400.0
13,E-0180,1187089,2017,Chevrolet,Suburban,LT,BLACK,160153,No,"",2026-08-28,E,7600.0
28,SG-0084,1184073,2024,Chevrolet,Tahoe,Premier,BLUE,68228,Yes,4.5,2026-08-28,SG,43750.0
13,CL-0032,1186730,2020,Chevrolet,Tahoe,Commercial,BLACK,155713,Yes,"",2026-08-28,CL,6100.0
13,CL-0034,1184184,2019,Chevrolet,Tahoe,Commercial,BLACK,139026,Yes,"",2026-08-28,CL,6600.0
13,A-0011,1187123,2016,Chevrolet,Tahoe,LT,BLACK,111243,No,"",2026-08-28,A,13200.0
13,E-0172,1186885,2016,Chevrolet,Tahoe,LTZ,PURPLE,169565,No,"",2026-08-28,E,8400.0
13,SG-0044,1187053,2019,Chevrolet,Traverse,LT Cloth,GRAY,151425,No,"",2026-08-28,SG,6000.0
12,E-0112,1186870,2019,Chevrolet,Traverse,LT Cloth,WHITE,157548,No,"",2026-08-28,E,5600.0
12,SG-0068,1186587,2019,Chevrolet,Traverse,RS,SILVER,131274,No,"",2026-08-28,SG,7100.0
27,CL-0036,1184739,2017,Chevrolet,Traverse,LT,WHITE,1,Yes,4.2,2026-08-28,CL,2700.0
13,SG-0063,1187040,2015,Chevrolet,Traverse,LS,BLUE,121774,No,"",2026-08-28,SG,2000.0
12,E-0093,1186852,2014,Chevrolet,Traverse,LT,GRAY,163934,No,"",2026-08-28,E,2000.0
12,SB-0129,1186997,2013,Chevrolet,Traverse,LT,GRAY,134858,No,"",2026-08-28,SB,2900.0
12,D-0090,1186632,2009,Chevrolet,Traverse,LS,GREEN,176847,No,"",2026-08-28,D,1100.0
28,CL-0007,1180189,2015,Chevrolet,Trax,LTZ,GRAY,138022,Yes,3.2,2026-08-28,CL,1500.0
24,CL-0070,1186684,2024,Chrysler,Pacifica,Touring,WHITE,117151,Yes,4.9,2026-08-28,CL,11700.0
13,E-0033,1187216,2020,Chrysler,Pacifica,Touring,GRAY,77366,No,"",2026-08-28,E,12800.0
12,SB-0120,1187014,2018,Chrysler,Pacifica,L,SILVER,54499,No,"",2026-08-28,SB,9000.0
11,E-0078,1187295,2023,Dodge,Challenger,SXT,BLACK,83420,No,"",2026-08-28,E,17000.0
13,E-0103,1187099,2015,Dodge,Challenger,R/T,GREEN,132481,No,"",2026-08-28,E,13100.0
12,CL-0033,1184225,2022,Dodge,Charger,Police,BLUE,138680,Yes,"",2026-08-28,CL,5500.0
15,CL-0035,1184228,2022,Dodge,Charger,Police,BLUE,124726,Yes,"",2026-08-28,CL,6100.0
13,CL-0031,1184171,2022,Dodge,Charger,Police,BLUE,136847,Yes,"",2026-08-28,CL,5000.0
7,IL-0012,1180205,2019,Dodge,Charger,Police,BLUE,122114,Yes,1.0,2026-08-28,IL,3200.0
13,C-0042,1187030,2013,Dodge,Charger,RT Max,SILVER,221097,No,"",2026-08-28,C,1700.0
12,SG-0006,1186360,2015,Dodge,Durango,SXT,WHITE,157992,No,"",2026-08-28,SG,5000.0
13,SB-0098,1186958,2015,Dodge,Durango,SXT,GRAY,213551,No,"",2026-08-28,SB,3200.0
24,CL-0011,1186185,2011,Dodge,Grand Caravan,Mainstreet,WHITE,105898,Yes,2.8,2026-08-28,CL,1200.0
15,C-0012,1186350,2018,Dodge,Journey,SE,BLACK,104128,No,"",2026-08-28,C,2600.0
12,CL-0016,1186072,2005,Dodge,Stratus,Sdn SXT,WHITE,202945,No,"",2026-08-28,CL,800.0
12,D-0060,1186230,2015,Fiat,500L,Lounge,BROWN,73953,No,"",2026-08-28,D,1200.0
12,E-0161,1187234,2022,Ford,Bronco,Wildtrak,GRAY,62682,No,"",2026-08-28,E,32000.0
13,A-0028,1187188,2022,Ford,Bronco Sport,Big Bend,BROWN,66637,No,"",2026-08-28,A,14000.0
13,SB-0095,1186947,2021,Ford,Bronco Sport,Big Bend,GREEN,22912,No,"",2026-08-28,SB,16500.0
13,SB-0036,1186497,2021,Ford,Bronco Sport,Outer Banks,GRAY,48976,No,"",2026-08-28,SB,18600.0
12,SB-0096,1186949,2010,Ford,Crown Victoria,4dr Sdn w/3.27 Axle,BLACK,137572,No,"",2026-08-28,SB,1300.0
11,CL-0108,1186150,2019,Ford,E-350 Cutaway,"E-350 DRW 158"" WB",WHITE,154911,No,"",2026-08-28,CL,6000.0
12,D-0149,1184100,2007,Ford,Econoline Commercial Cutaway,"E-450 Super Duty 158"" DRW",WHITE,219714,No,"",2026-08-28,D,1100.0
32,SB-0012,1184382,2020,Ford,EcoSport,SE,SILVER,128235,Yes,3.6,2026-08-28,SB,2700.0
12,E-0132,1186860,2018,Ford,Edge,Titanium,WHITE,101569,No,"",2026-08-28,E,7600.0
12,D-0127,1186017,2016,Ford,Edge,SEL,RED,152781,No,"",2026-08-28,D,2500.0
12,SB-0114,1187007,2016,Ford,Edge,Titanium,BLACK,105553,No,"",2026-08-28,SB,4200.0
12,SB-0054,1186789,2015,Ford,Edge,SE,WHITE,111349,No,"",2026-08-28,SB,4000.0
25,CL-0028,1183729,2022,Ford,Escape,SE,GRAY,64463,Yes,2.4,2026-08-28,CL,8000.0
7,IO-0004,1186988,2018,Ford,Escape,SE,GOLD,1,No,"",2026-08-28,IO,1300.0
13,SG-0045,1187054,2018,Ford,Escape,SE,BLACK,98108,No,"",2026-08-28,SG,5600.0
31,E-0062,1186523,2017,Ford,Escape,SE,SILVER,122026,Yes,4.1,2026-08-28,E,4000.0
13,SG-0050,1187072,2017,Ford,Escape,Titanium,RED,146008,No,"",2026-08-28,SG,3500.0
12,A-0014,1187133,2021,Ford,Expedition,Platinum,GRAY,46886,No,"",2026-08-28,A,37000.0
13,B-0031,1185648,2020,Ford,Expedition,XLT,GRAY,58836,No,"",2026-08-28,B,18200.0
12,E-0126,1186868,2019,Ford,Expedition,Limited,SILVER,66955,No,"",2026-08-28,E,18250.0
15,A-0036,1186970,2020,Ford,Explorer,Limited,WHITE,169064,No,"",2026-08-28,A,10000.0
13,C-0043,1187035,2018,Ford,Explorer,XLT,GRAY,173903,No,"",2026-08-28,C,5000.0
12,SB-0076,1186383,2017,Ford,Explorer,Sport,BLACK,166304,No,"",2026-08-28,SB,6700.0
12,A-0002,1186715,2016,Ford,Explorer,Limited,BLACK,126578,No,"",2026-08-28,A,5100.0
13,B-0054,1183043,2016,Ford,Explorer,XLT,RED,87422,No,"",2026-08-28,B,5200.0
13,SB-0011,1186809,2015,Ford,Explorer,XLT,WHITE,174508,No,"",2026-08-28,SB,4900.0
13,E-0210,1186932,2014,Ford,Explorer,Sport,RED,201011,No,"",2026-08-28,E,2200.0
13,A-0003,1186716,2025,Ford,F150,STX,BLACK,24129,No,"",2026-08-28,A,32800.0
13,B-0024,1186154,2020,Ford,F150,XL,BLACK,93381,No,"",2026-08-28,B,14400.0
13,SG-0067,1187194,2020,Ford,F150,XLT,GRAY,125272,No,"",2026-08-28,SG,15000.0
13,E-0005,1187027,2020,Ford,F150,XLT,BLACK,121390,No,"",2026-08-28,E,15200.0
37,CL-0065,1185468,2019,Ford,F150,XL,SILVER,254023,Yes,2.7,2026-08-28,CL,2800.0
13,E-0206,1187100,2019,Ford,F150,XLT,SILVER,167180,No,"",2026-08-28,E,8800.0
12,SB-0094,1186943,2019,Ford,F150,XLT,GRAY,81226,No,"",2026-08-28,SB,19000.0
