Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
16,A-0002,354075,2017,Alfa Romeo,Giulia,Ti,GRAY,98687,No,"",2026-08-04,A,5800.0
15,A-0025,354063,2013,Buick,Encore,Leather,RED,156746,No,"",2026-08-04,A,1500.0
41,FC-0010,353262,2014,Buick,Verano,4dr Sdn,WHITE,167392,Yes,2.0,2026-08-04,FC,800.0
16,A-0013,354003,2016,Cadillac,Escalade,Premium Collection,WHITE,167113,No,"",2026-08-04,A,10200.0
16,B-0053,354168,2017,Cadillac,XT5,Luxury,WHITE,84762,No,"",2026-08-04,B,11500.0
15,A-0004,354068,2015,Chevrolet,Camaro,LT,GRAY,190620,No,"",2026-08-04,A,3800.0
34,FB-0009,352938,2019,Chevrolet,Colorado,Work Truck,SILVER,81209,Yes,4.2,2026-08-04,FB,15600.0
16,A-0007,354076,2017,Chevrolet,Colorado,LT,BLACK,183615,No,"",2026-08-04,A,7000.0
26,FC-0019,353634,2023,Chevrolet,Corvette,2LT,RED,25899,Yes,4.6,2026-08-04,FC,59800.0
16,B-0052,354164,2013,Chevrolet,Cruze,LTZ,WHITE,139256,No,"",2026-08-04,B,2200.0
15,FC-0035,354099,2018,Chevrolet,Equinox,LS,WHITE,196184,No,"",2026-08-04,FC,3400.0
15,FC-0040,354102,2019,Chevrolet,Impala,LS,WHITE,109364,No,"",2026-08-04,FC,6100.0
35,FC-0001,353386,2022,Chevrolet,Malibu,RS,WHITE,29110,Yes,2.9,2026-08-04,FC,16400.0
36,FB-0012,353508,2019,Chevrolet,Malibu,LT,WHITE,202425,Yes,2.0,2026-08-04,FB,1000.0
16,A-0041,354106,2018,Chevrolet,Malibu,LT,GRAY,143453,No,"",2026-08-04,A,2300.0
38,FB-0005,353454,2017,Chevrolet,Malibu,LT,GRAY,142488,Yes,1.3,2026-08-04,FB,2200.0
41,FC-0024,353623,2016,Chevrolet,Malibu,LT,GOLD,97132,Yes,1.7,2026-08-04,FC,3200.0
42,FC-0007,353292,2018,Chevrolet,Silverado 1500,Custom,SILVER,173550,Yes,1.0,2026-08-04,FC,5400.0
0,A-0050,354184,2018,Chevrolet,Silverado 1500,LT,BLACK,113446,No,"",2026-08-04,A,11000.0
16,A-0008,354077,2014,Chevrolet,Silverado 1500,LT,BLUE,237018,No,"",2026-08-04,A,4700.0
46,VS-0103,352613,2012,Chevrolet,Silverado 1500,LT,BLUE,221861,Yes,1.0,2026-08-04,VS,1200.0
