Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
16,FM-0032,731392,2016,Acura,RDX,Tech Pkg,BLACK,166047,Yes,"",2026-07-22,FM,4500.0
16,FM-0080,731365,2018,Buick,Envision,Essence,PURPLE,111668,Yes,"",2026-07-22,FM,6400.0
16,FM-0013,731340,2017,Chevrolet,Camaro,2LT,GRAY,107713,Yes,"",2026-07-22,FM,12400.0
17,FM-0010,731267,2015,Chevrolet,Colorado,LT,GRAY,224084,Yes,"",2026-07-22,FM,3800.0
17,FM-0031,731390,2020,Chevrolet,Equinox,LT,WHITE,134175,Yes,"",2026-07-22,FM,6500.0
17,FM-0001,731253,2017,Chevrolet,Equinox,LT,BLUE,79376,Yes,"",2026-07-22,FM,5400.0
17,FM-0085,731444,2024,Chevrolet,Malibu,RS,RED,14019,Yes,"",2026-07-22,FM,19000.0
16,FM-0065,731271,2023,Chevrolet,Silverado 1500,Custom,BLUE,86701,Yes,"",2026-07-22,FM,21000.0
17,FM-0018,731439,2020,Chevrolet,Silverado 1500,LT,WHITE,116266,Yes,"",2026-07-22,FM,15000.0
17,FM-0064,731092,2015,Chevrolet,Silverado 1500,LT,RED,112629,Yes,"",2026-07-22,FM,12000.0
16,FM-0004,731259,2013,Chevrolet,Silverado 1500,Work Truck,GRAY,103913,Yes,"",2026-07-22,FM,3000.0
18,FM-0073,731093,2020,Chevrolet,Silverado 3500,3500HD LTZ,BROWN,143077,Yes,"",2026-07-22,FM,33400.0
18,FM-0072,731304,2015,Chevrolet,Tahoe,LS,GRAY,154186,Yes,"",2026-07-22,FM,7700.0
17,FM-0005,731256,2019,Chrysler,300,Limited,BLACK,152766,Yes,"",2026-07-22,FM,2700.0
17,FM-0075,731341,2021,Chrysler,Pacifica,Hybrid Pinnacle,RED,96488,Yes,"",2026-07-22,FM,16600.0
16,FM-0078,731344,2021,Dodge,Challenger,SXT,ORANGE,74024,Yes,"",2026-07-22,FM,7400.0
16,FM-0066,731272,2020,Dodge,Challenger,R/T,GRAY,106309,Yes,"",2026-07-22,FM,14500.0
16,FM-0012,731269,2005,Dodge,Dakota,SLT,RED,174562,Yes,"",2026-07-22,FM,500.0
16,FM-0076,731342,2008,Ford,E350 Vans,Commercial,WHITE,308524,Yes,"",2026-07-22,FM,1600.0
17,FM-0009,731264,2013,Ford,Escape,SEL,GRAY,101561,Yes,"",2026-07-22,FM,2100.0
17,FM-0061,731089,2016,Ford,F150,XLT,GRAY,229326,Yes,"",2026-07-22,FM,5000.0
33,FM-0014,730923,2019,Ford,F250SD,Lariat,WHITE,109741,Yes,4.4,2026-07-22,FM,38600.0
16,FM-0016,730922,2003,Ford,Mustang,Premium,RED,77951,Yes,"",2026-07-22,FM,3000.0
17,FM-0077,731343,2019,Ford,Ranger,XLT,GRAY,56901,Yes,"",2026-07-22,FM,17200.0
16,FM-0093,731456,2016,Ford,T350 Vans,XL,WHITE,75995,Yes,"",2026-07-22,FM,11000.0
16,FM-0008,731263,2002,Ford,Taurus,SE Standard,GREEN,144785,Yes,"",2026-07-22,FM,1000.0
16,FM-0002,731258,2017,GMC,Sierra 1500,"Double Cab 143.5""",BROWN,214785,Yes,"",2026-07-22,FM,4400.0
16,FM-0084,731411,2024,GMC,Sierra 2500,2500HD Pro,BLACK,27164,Yes,"",2026-07-22,FM,36000.0
18,FM-0063,731091,2011,GMC,Sierra 2500,2500HD SLT,SILVER,240626,Yes,"",2026-07-22,FM,7500.0
