Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
16,HQ-0004,731952,2007,Acura,TL,4dr Sdn AT,GOLD,99607,Yes,"",2026-08-18,HQ,600.0
16,HQ-0062,732012,2010,Acura,TSX,4dr Sdn I4 Auto,WHITE,236301,Yes,"",2026-08-18,HQ,450.0
17,HQ-0002,731141,2018,Audi,Q7,Premium Plus,BLACK,126870,Yes,"",2026-08-18,HQ,6100.0
16,HQ-0021,731929,2002,BMW,3-Series,325i,BLACK,247689,Yes,"",2026-08-18,HQ,300.0
16,HQ-0042,731933,2018,Buick,Encore,Preferred II,BURGUNDY,41655,Yes,"",2026-08-18,HQ,8700.0
17,HQ-0064,732016,2015,Chevrolet,Suburban,LS,WHITE,195301,Yes,"",2026-08-18,HQ,3700.0
17,HQ-0066,732018,2017,Chevrolet,Traverse,Premier,WHITE,96616,Yes,"",2026-08-18,HQ,2100.0
17,HQ-0045,731925,2012,Chevrolet,Traverse,LT w/2LT,BLACK,109005,Yes,"",2026-08-18,HQ,500.0
17,HQ-0022,731932,2015,Chevrolet,Volt,5dr HB,BLUE,182989,Yes,"",2026-08-18,HQ,800.0
16,HQ-0046,731921,2012,Dodge,Charger,SE,SILVER,194179,Yes,"",2026-08-18,HQ,750.0
15,HQ-0001,731900,2018,Ford,Edge,Titanium,BLACK,91348,Yes,"",2026-08-18,HQ,6400.0
16,HQ-0054,732003,2012,Ford,Escape,XLS,BLUE,160422,Yes,"",2026-08-18,HQ,450.0
15,HQ-0005,731905,2010,Ford,Escape,Limited,SILVER,252323,Yes,"",2026-08-18,HQ,400.0
18,HQ-0037,731950,2008,Ford,Expedition,Eddie Bauer,GRAY,152834,Yes,"",2026-08-18,HQ,650.0
17,HQ-0039,731942,2010,Ford,F150,Lariat,WHITE,191159,Yes,"",2026-08-18,HQ,1700.0
16,HQ-0020,731928,2019,Ford,Fusion,Titanium,BLACK,212056,Yes,"",2026-08-18,HQ,950.0
17,HQ-0051,731999,2014,Ford,Fusion,SE,WHITE,178338,Yes,"",2026-08-18,HQ,350.0
16,HQ-0049,731997,2016,Ford,Mustang,GT,BLACK,114566,Yes,"",2026-08-18,HQ,7000.0
16,HQ-0056,732005,2017,Honda,Accord,Sedan EX-L,WHITE,104814,Yes,"",2026-08-18,HQ,10700.0
17,HQ-0057,732006,2017,Honda,Civic,Sedan EX-T,BLACK,180408,Yes,"",2026-08-18,HQ,3200.0
15,HQ-0017,731923,2012,Honda,Civic,Sdn LX,SILVER,1,Yes,"",2026-08-18,HQ,1200.0
16,HQ-0038,731946,2020,Honda,CR-V,EX,BLACK,137833,Yes,"",2026-08-18,HQ,9700.0
16,HQ-0025,731936,2011,Honda,CR-V,LX,SILVER,208966,Yes,"",2026-08-18,HQ,750.0
17,HQ-0041,731935,2016,Honda,Pilot,Elite,GRAY,133580,Yes,"",2026-08-18,HQ,9000.0
16,HQ-0043,731930,2013,Honda,Pilot,EX-L,WHITE,178962,Yes,"",2026-08-18,HQ,2000.0
17,HQ-0036,731949,2009,Honda,Pilot,EX-L,GOLD,163115,Yes,"",2026-08-18,HQ,700.0
16,HQ-0033,731147,2018,Hyundai,Elantra,Value Edition,BLACK,140813,Yes,"",2026-08-18,HQ,2900.0
17,HQ-0011,731903,2009,Hyundai,Elantra,GLS,GRAY,112919,Yes,"",2026-08-18,HQ,1300.0
17,HQ-0055,732004,2017,Hyundai,Santa Fe Sport,2.0T Ultimate,RED,104183,Yes,"",2026-08-18,HQ,7400.0
17,HQ-0028,731154,2015,Hyundai,Tucson,GLS,RED,227119,Yes,"",2026-08-18,HQ,600.0
16,HQ-0061,732011,2017,Jeep,Wrangler,Unlimited Sport,GRAY,91702,Yes,"",2026-08-18,HQ,9400.0
17,HQ-0010,731906,2014,Kia,Optima,LX,GRAY,99549,Yes,"",2026-08-18,HQ,2600.0
17,HQ-0018,731922,2014,Kia,Rio,LX,WHITE,161834,Yes,"",2026-08-18,HQ,600.0
17,HQ-0059,732008,2017,Kia,Sportage,EX,WHITE,123257,Yes,"",2026-08-18,HQ,3900.0
16,HQ-0048,731914,2006,Mazda,Mazda3,i Touring,SILVER,99510,Yes,"",2026-08-18,HQ,500.0
16,HQ-0067,732019,2005,Mitsubishi,Eclipse,GS,GRAY,55514,Yes,"",2026-08-18,HQ,400.0
17,HQ-0023,731934,2015,Nissan,Altima,2.5,RED,126502,Yes,"",2026-08-18,HQ,500.0
17,HQ-0024,731937,2014,Nissan,Altima,2.5 SV,RED,125341,Yes,"",2026-08-18,HQ,1050.0
16,HQ-0007,731912,2014,Nissan,Maxima,3.5 SV,GRAY,86991,Yes,"",2026-08-18,HQ,500.0
15,HQ-0006,731908,2013,Nissan,Rogue,S,SILVER,98228,Yes,"",2026-08-18,HQ,700.0
16,HQ-0050,732001,2017,Nissan,Sentra,SV,BLUE,116006,Yes,"",2026-08-18,HQ,800.0
15,HQ-0029,731943,2012,Nissan,Sentra,2.0 SR,BLACK,148225,Yes,"",2026-08-18,HQ,350.0
16,HQ-0019,731926,2009,Nissan,Versa,1.8 S,BLACK,182844,Yes,"",2026-08-18,HQ,550.0
17,HQ-0027,731941,2013,Scion,tC,2dr HB Auto (GS),SILVER,98016,Yes,"",2026-08-18,HQ,3200.0
15,HQ-0014,731913,2014,Smart,fortwo,Pure,WHITE,52117,Yes,"",2026-08-18,HQ,950.0
17,HQ-0032,731945,2020,Toyota,C-HR,LE,WHITE,112496,Yes,"",2026-08-18,HQ,8100.0
16,HQ-0040,731938,2016,Toyota,Camry,SE,SILVER,92558,Yes,"",2026-08-18,HQ,9300.0
16,HQ-0068,732020,2012,Toyota,Camry,L,SILVER,110645,Yes,"",2026-08-18,HQ,5000.0
17,HQ-0026,731939,2007,Toyota,Camry,LE,BLUE,183581,Yes,"",2026-08-18,HQ,500.0
16,HQ-0012,731901,2003,Toyota,Camry,LE,SILVER,207123,Yes,"",2026-08-18,HQ,800.0
17,HQ-0047,731918,2022,Toyota,Corolla,LE,SILVER,62170,Yes,"",2026-08-18,HQ,13300.0
16,HQ-0063,732014,2018,Toyota,Corolla,LE,SILVER,77501,Yes,"",2026-08-18,HQ,4600.0
17,HQ-0008,731138,2016,Toyota,Corolla,LE,WHITE,132615,Yes,"",2026-08-18,HQ,4600.0
17,HQ-0052,732000,2016,Toyota,Corolla,S Plus,GRAY,41159,Yes,"",2026-08-18,HQ,9900.0
16,HQ-0058,732007,2015,Toyota,Corolla,S Plus,RED,111516,Yes,"",2026-08-18,HQ,6300.0
15,HQ-0015,731916,2014,Toyota,Corolla,LE,GRAY,110121,Yes,"",2026-08-18,HQ,5600.0
16,HQ-0060,732009,2014,Toyota,Corolla,LE,SILVER,123673,Yes,"",2026-08-18,HQ,4900.0
17,HQ-0035,731948,2003,Toyota,Corolla,CE,OTHER,227727,Yes,"",2026-08-18,HQ,550.0
