Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
25,1S-0192,732358,2011,Audi,A4,2.0T Premium,GOLD,73328,Yes,4.1,2026-08-31,1S,4000.0
18,1S-0187,732304,2017,Audi,A6,Premium Plus,WHITE,81163,Yes,4.8,2026-08-31,1S,12900.0
23,1S-0161,732181,2014,Audi,S5,Prestige,BLACK,124089,Yes,4.8,2026-08-31,1S,7400.0
23,1S-0191,732349,2021,Audi,SQ7,Premium Plus,BLACK,79431,Yes,4.5,2026-08-31,1S,30500.0
19,1S-0123,732337,2022,BMW,4-Series,430i,BLACK,39651,Yes,4.7,2026-08-31,1S,26900.0
20,1S-0031,732314,2025,BMW,i4,M50,BLACK,13287,Yes,4.5,2026-08-31,1S,48600.0
25,1S-0082,732334,2022,BMW,X3,sDrive30i,BLACK,52350,Yes,4.3,2026-08-31,1S,22400.0
17,1S-0185,732302,2020,BMW,X5,M Competition,BLUE,59435,Yes,4.5,2026-08-31,1S,49800.0
29,1S-0122,732327,2018,BMW,X5,XDrive35i,BLACK,153812,Yes,3.8,2026-08-31,1S,7800.0
22,1S-0167,732241,2017,BMW,X5,sDrive35i,WHITE,87848,Yes,3.7,2026-08-31,1S,10200.0
12,1S-0188,732343,2001,BMW,Z3,2.5i,GOLD,59988,Yes,4.8,2026-08-31,1S,9900.0
15,1S-0104,732323,2024,Cadillac,CT5,Luxury,WHITE,61641,Yes,5.0,2026-08-31,1S,24500.0
28,1S-0077,732394,2021,Cadillac,CT5,Premium Luxury,BLACK,52955,Yes,3.8,2026-08-31,1S,24800.0
18,1S-0061,732324,2016,Cadillac,Escalade,ESV Luxury Collection,GRAY,62205,Yes,4.2,2026-08-31,1S,22600.0
25,1S-0125,732339,2012,Cadillac,SRX,Premium Collection,BLACK,62053,Yes,4.0,2026-08-31,1S,8200.0
20,1S-0108,731845,2025,Cadillac,XT4,Premium Luxury,BLACK,23700,Yes,4.6,2026-08-31,1S,30400.0
26,1S-0086,732366,2020,Cadillac,XT5,Premium Luxury,SILVER,64168,Yes,4.5,2026-08-31,1S,18600.0
21,1S-0103,732269,2018,Cadillac,XT5,Platinum,BROWN,83196,Yes,4.7,2026-08-31,1S,17500.0
18,1S-0121,732326,2017,Cadillac,XT5,Luxury,BLACK,234229,Yes,4.1,2026-08-31,1S,2200.0
25,1S-0087,732373,2018,Cadillac,XTS,Luxury,SILVER,44790,Yes,4.4,2026-08-31,1S,18200.0
22,1S-0211,732279,2021,Chevrolet,Blazer,LT,GRAY,33519,Yes,4.5,2026-08-31,1S,18400.0
31,1S-0069,732352,2019,Chevrolet,Equinox,LT,BLUE,77143,Yes,3.4,2026-08-31,1S,11400.0
28,1S-0068,732346,2015,Chevrolet,Equinox,LS,GOLD,80191,Yes,3.9,2026-08-31,1S,7000.0
19,1S-0084,732354,2022,Chevrolet,Tahoe,RST,WHITE,76460,Yes,4.6,2026-08-31,1S,38800.0
23,1S-0011,732281,2017,Chevrolet,Traverse,Premier,WHITE,133975,Yes,3.8,2026-08-31,1S,4600.0
37,1S-0070,732353,2016,Dodge,Journey,SXT,BLACK,165658,Yes,2.5,2026-08-31,1S,1600.0
18,1S-0046,732383,2023,Ford,Bronco,Raptor,SILVER,5271,Yes,5.0,2026-08-31,1S,62600.0
23,1S-0124,732338,2018,Ford,Escape,Titanium,GOLD,96374,Yes,3.6,2026-08-31,1S,6100.0
16,1S-0065,732333,2023,Ford,Expedition,XLT,WHITE,39331,Yes,4.4,2026-08-31,1S,38800.0
17,1S-0102,732268,2021,Ford,Expedition,XLT,WHITE,80070,Yes,4.5,2026-08-31,1S,24000.0
23,1S-0183,732300,2021,Ford,Expedition Max,Platinum MAX,WHITE,86699,Yes,4.5,2026-08-31,1S,30700.0
27,1S-0064,732329,2021,Ford,Explorer,XLT,WHITE,54310,Yes,4.2,2026-08-31,1S,20400.0
23,1S-0101,732169,2020,Ford,Explorer,ST,GRAY,66184,Yes,4.4,2026-08-31,1S,22800.0
15,1S-0209,732275,2024,Ford,Ranger,Lariat,WHITE,5802,Yes,4.8,2026-08-31,1S,33200.0
20,1S-0083,732351,2003,Ford,Thunderbird,Deluxe,GRAY,80835,Yes,4.4,2026-08-31,1S,9400.0
28,1S-0142,732192,2015,GMC,Sierra 1500,SLE,WHITE,146925,Yes,4.4,2026-08-31,1S,11800.0
22,1S-0003,732245,2024,GMC,Terrain,SLE,BLUE,49295,Yes,4.6,2026-08-31,1S,17400.0
27,1S-0072,732357,2016,GMC,Yukon,SLT,BLACK,111113,Yes,3.3,2026-08-31,1S,15200.0
22,1S-0212,732387,2025,Honda,CR-V,EX,WHITE,16839,Yes,4.7,2026-08-31,1S,27000.0
17,1S-0002,732244,2020,Honda,Odyssey,Touring,WHITE,71225,Yes,4.5,2026-08-31,1S,24200.0
30,1S-0160,732172,2011,Honda,Odyssey,Touring,BURGUNDY,154544,Yes,4.2,2026-08-31,1S,4600.0
