Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
23,A-0002,28919,2013,Acura,RDX,Tech Pkg,BLACK,267128,Yes,2.5,2026-08-12,A,2300.0
15,S-0004,28772,2014,BMW,5-Series,535i,SILVER,79511,Yes,"",2026-08-12,S,2000.0
19,A-0004,28773,2020,BMW,X5,sDrive40i,BLACK,77967,Yes,4.5,2026-08-12,A,23500.0
14,YE-0001,28653,2014,Buick,Encore,Premium,SILVER,64449,No,"",2026-08-12,YE,3700.0
17,A-0010,28996,2007,Buick,LaCrosse,CX,SILVER,126615,Yes,2.7,2026-08-12,A,1900.0
22,A-0015,28995,2020,Cadillac,CT5,Premium Luxury,WHITE,61170,Yes,2.6,2026-08-12,A,19500.0
15,A-0045,28911,2018,Cadillac,Escalade,Platinum,BLACK,54831,Yes,"",2026-08-12,A,32200.0
18,C-0017,26576,2011,Cadillac,SRX,Luxury Collection,SILVER,85504,Yes,"",2026-08-12,C,3400.0
15,B-0024,28777,2004,Chevrolet,Avalanche,"1500 5dr Crew Cab 130"" WB",SILVER,224886,Yes,"",2026-08-12,B,800.0
15,A-0060,28794,2017,Chevrolet,Camaro,1LT,BLACK,64507,Yes,"",2026-08-12,A,12400.0
21,B-0028,28631,2024,Chevrolet,Colorado,LT,BLACK,7372,Yes,5.0,2026-08-12,B,23200.0
14,A-0058,28805,2006,Chevrolet,Corvette,2dr Conv,SILVER,110868,Yes,"",2026-08-12,A,14000.0
15,B-0022,28776,2012,Chevrolet,Malibu,LT w/1LT,BROWN,130858,Yes,"",2026-08-12,B,1500.0
17,C-0022,29117,2012,Chevrolet,Malibu,LT w/1LT,RED,106323,Yes,"",2026-08-12,C,2000.0
15,B-0025,731612,2019,Chevrolet,Silverado 1500,LT,BLACK,114184,Yes,"",2026-08-12,B,12000.0
25,C-0014,731252,2016,Chevrolet,Silverado 1500,LT,BLUE,143075,Yes,2.9,2026-08-12,C,8400.0
27,A-0049,28784,2019,Chevrolet,Tahoe,LS,BLACK,98562,Yes,3.6,2026-08-12,A,17200.0
28,A-0003,28920,2008,Dodge,Charger,SRT8,BLUE,224252,Yes,2.4,2026-08-12,A,2800.0
21,A-0033,29000,2019,Ford,Escape,SE,SILVER,63846,Yes,3.8,2026-08-12,A,8600.0
23,C-0005,731526,2020,Ford,Explorer,XLT,RED,118093,Yes,3.4,2026-08-12,C,9700.0
17,S-0002,26538,2004,Ford,F150,XLT,BLUE,1,Yes,"",2026-08-12,S,1000.0
15,B-0047,28815,2019,Ford,F350SD,XL,SILVER,216493,Yes,"",2026-08-12,B,20000.0
15,B-0046,28814,2017,Ford,F350SD,XL,SILVER,237325,Yes,"",2026-08-12,B,13000.0
30,C-0009,26622,2019,Ford,Fiesta,SE,WHITE,72783,Yes,3.0,2026-08-12,C,2500.0
20,C-0065,28304,2020,Ford,T150 Vans,"T-150 130"" Low Rf 8670 GVWR",WHITE,155908,Yes,4.2,2026-08-12,C,9100.0
24,C-0058,28613,2019,Ford,T150 Vans,"T-150 130"" Low Rf 8600 GVWR Sliding RH D",WHITE,142689,Yes,2.3,2026-08-12,C,9000.0
20,C-0061,28320,2018,Ford,T150 Vans,"T-150 130"" Low Rf 8600 GVWR Sliding RH D",WHITE,101499,Yes,3.4,2026-08-12,C,9000.0
0,S-0001,28790,2005,Honda,Accord,Sdn EX-L V6,BLUE,1,Yes,1.3,2026-08-12,S,600.0
0,D-0009,29124,2016,Honda,Civic,Sedan EX,SILVER,188094,Yes,"",2026-08-12,D,3100.0
30,B-0002,28905,2017,Honda,Fit,LX,SILVER,95397,Yes,4.2,2026-08-12,B,7500.0
15,D-0006,28817,2015,Hyundai,Elantra,GT 5dr HB Auto,SILVER,102106,Yes,"",2026-08-12,D,2400.0
15,D-0002,28917,2012,Hyundai,Santa Fe,GLS,WHITE,123487,Yes,"",2026-08-12,D,2900.0
15,D-0004,28916,2014,Hyundai,Santa Fe Sport,4dr 2.4,RED,135325,Yes,"",2026-08-12,D,4100.0
31,B-0014,28550,2013,Hyundai,Sonata,GLS,BLUE,214441,Yes,2.7,2026-08-12,B,1400.0
25,B-0005,28821,2010,Hyundai,Veracruz,GLS,SILVER,185615,Yes,3.9,2026-08-12,B,900.0
15,B-0057,27203,2012,INFINITI,FX35,4dr,SILVER,185414,No,"",2026-08-12,B,2700.0
21,C-0004,731382,2018,INFINITI,QX60,"",BLUE,147749,Yes,3.0,2026-08-12,C,3000.0
15,B-0045,28813,2019,Jeep,Compass,Latitude,BLUE,125315,Yes,"",2026-08-12,B,4900.0
19,A-0048,28783,2023,Jeep,Grand Cherokee,Altitude X,BLACK,59740,Yes,4.6,2026-08-12,A,20200.0
19,A-0032,28993,2019,Jeep,Renegade,Trailhawk,GRAY,35168,Yes,4.7,2026-08-12,A,10900.0
15,A-0061,28880,2013,Jeep,Wrangler,Unlimited Sahara,BLACK,78427,Yes,"",2026-08-12,A,9600.0
21,A-0006,28997,2004,Jeep,Wrangler,Sport,RED,145184,Yes,3.7,2026-08-12,A,5200.0
26,RV-0001,730286,2013,Keystone,Outback 298RE,"",WHITE,1,Yes,3.1,2026-08-12,RV,1800.0
23,BT-0004,731178,2023,Keywest,189fs,"",WHITE,1,Yes,3.0,2026-08-12,BT,30999.0
27,C-0012,731380,2023,Kia,Rio,LX,BLACK,27631,Yes,2.9,2026-08-12,C,9700.0
27,S-0006,730036,2019,Kia,Sedona,EX,GRAY,1,Yes,1.4,2026-08-12,S,1000.0
19,A-0031,29002,2019,Lexus,LC 500,LC 500,BLACK,77208,Yes,4.4,2026-08-12,A,60000.0
15,A-0064,28793,2015,Mercedes-Benz,GL Class,4MATIC,SILVER,228184,Yes,"",2026-08-12,A,2000.0
15,A-0065,28796,2019,Mercedes-Benz,GLC,300 4MATIC,WHITE,117971,Yes,"",2026-08-12,A,9200.0
23,A-0009,28999,2017,Mini,Cooper Clubman,Cooper S,RED,119927,Yes,4.2,2026-08-12,A,5200.0
15,B-0023,28778,2015,Nissan,Altima,2.5,TAN,242425,Yes,"",2026-08-12,B,800.0
15,D-0007,28820,2015,Nissan,Altima,2.5 S,BLUE,136753,Yes,"",2026-08-12,D,1400.0
29,A-0013,29004,2015,Nissan,Altima,2.5 SV,RED,167364,Yes,2.5,2026-08-12,A,1500.0
15,B-0041,731718,2014,Nissan,Altima,2.5 SV,WHITE,72899,Yes,"",2026-08-12,B,4700.0
34,A-0011,29003,2012,Nissan,Altima,2.5 S,WHITE,257551,Yes,2.6,2026-08-12,A,1400.0
15,D-0005,28816,2012,Nissan,Altima,2.5 S,GRAY,135100,Yes,"",2026-08-12,D,1000.0
24,C-0011,731378,2021,Nissan,LEAF,S,WHITE,17714,Yes,4.3,2026-08-12,C,9900.0
23,A-0008,28994,2011,Ram,1500,Big Horn,BLACK,141094,Yes,3.7,2026-08-12,A,6300.0
