Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
18,C-0052,236790,2025,Acura,MDX,w/Technology Package,BLUE,16275,Yes,4.7,2026-08-27,C,41600.0
23,C-0113,237014,2015,Acura,MDX,Tech Pkg,BLACK,136605,Yes,3.8,2026-08-27,C,8700.0
23,T-0017,235173,2014,Acura,MDX,SH-AWD 4dr AWD,SILVER,193341,Yes,2.6,2026-08-27,T,1800.0
28,B-0054,237044,2012,Acura,MDX,Tech Pkg,BURGUNDY,80779,Yes,3.1,2026-08-27,B,5800.0
19,C-0057,236890,2021,Acura,RDX,w/Advance Package,BLACK,84076,Yes,4.2,2026-08-27,C,24000.0
24,C-0155,237162,2013,Acura,RDX,Tech Pkg,BLACK,171050,Yes,3.6,2026-08-27,C,5400.0
14,B-0066,236953,2015,Audi,Q3,2.0T Premium Plus,BLACK,55817,No,"",2026-08-27,B,5400.0
20,C-0074,236912,2022,Audi,Q5 S-Line,S line Premium Plus,GRAY,19242,Yes,4.3,2026-08-27,C,27200.0
27,B-0090,237039,2018,Audi,Q7,Prestige,SILVER,155712,Yes,2.7,2026-08-27,B,5400.0
24,T-0010,234132,2017,Audi,Q7,Prestige,BLACK,150605,Yes,4.0,2026-08-27,T,3200.0
31,C-0174,237206,2008,Audi,Q7,3.6L Premium,GRAY,293468,Yes,2.7,2026-08-27,C,1700.0
15,C-0076,236935,2023,Audi,Q8,Premium Plus,WHITE,12484,Yes,4.9,2026-08-27,C,44600.0
28,DD-0008,1007278,2015,BMW,3-Series,335i xDrive,SILVER,178812,Yes,1.3,2026-08-27,DD,3200.0
19,D-0127,237055,2013,BMW,3-Series,328i xDrive,BLACK,145282,Yes,3.2,2026-08-27,D,1800.0
19,C-0157,237181,2013,BMW,3-Series,335i,BLACK,118724,Yes,3.6,2026-08-27,C,8400.0
18,C-0160,237184,2013,BMW,3-Series,335is,BLACK,98325,Yes,4.0,2026-08-27,C,11200.0
24,C-0095,236897,2014,BMW,3-Series Grn Turismo,328i xDrive,BLUE,117988,Yes,3.7,2026-08-27,C,6600.0
30,DD-0001,232862,2019,BMW,4-Series,430i xDrive,BLACK,64385,Yes,2.9,2026-08-27,DD,12800.0
21,D-0061,1006572,2018,BMW,4-Series,430i xDrive,SILVER,95824,Yes,4.3,2026-08-27,D,8800.0
24,C-0164,237289,2019,BMW,5-Series,530i,SILVER,122006,Yes,2.9,2026-08-27,C,7600.0
16,BB-0024,236998,2014,BMW,5-Series,528i xDrive,BLACK,111300,Yes,4.3,2026-08-27,BB,4400.0
14,DD-0022,237077,2012,BMW,5-Series,528i,BLUE,109719,No,"",2026-08-27,DD,3800.0
14,B-0040,236845,2013,BMW,7-Series,750i xDrive,BLACK,90537,No,"",2026-08-27,B,4000.0
16,D-0047,236330,2019,BMW,X3,XDrive30i,WHITE,71005,Yes,4.9,2026-08-27,D,14400.0
21,C-0159,237286,2024,BMW,X5,XDrive40i,WHITE,43962,Yes,4.5,2026-08-27,C,39500.0
18,C-0115,237079,2024,BMW,X5,XDrive40i,GRAY,38794,Yes,4.6,2026-08-27,C,44000.0
20,D-0106,236948,2020,BMW,X5,M50i,BLACK,61871,Yes,4.3,2026-08-27,D,28250.0
14,B-0028,236818,2016,BMW,X5,XDrive35d,WHITE,183086,No,"",2026-08-27,B,6000.0
16,C-0184,237319,2022,BMW,X6,XDrive40i,GRAY,83319,Yes,4.6,2026-08-27,C,31250.0
14,D-0111,237033,2019,BMW,X6,sDrive35i,BLACK,101426,No,"",2026-08-27,D,12500.0
17,C-0109,237009,2025,BMW,X7,XDrive40i,GREEN,42119,Yes,4.6,2026-08-27,C,53750.0
20,C-0142,237085,2024,BMW,X7,XDrive40i,WHITE,50850,Yes,4.5,2026-08-27,C,49250.0
32,C-0112,236482,2022,BMW,X7,XDrive40i,BROWN,61893,Yes,3.6,2026-08-27,C,25000.0
24,B-0058,236982,2014,Buick,Enclave,Leather,GOLD,154567,Yes,3.6,2026-08-27,B,3200.0
36,C-0105,236715,2018,Buick,Encore,Sport Touring,BURGUNDY,108575,Yes,2.8,2026-08-27,C,4200.0
19,C-0058,236858,2025,Cadillac,Escalade,Premium Luxury,WHITE,15726,Yes,4.4,2026-08-27,C,92500.0
17,C-0060,236894,2023,Cadillac,Escalade,Premium Luxury,WHITE,64381,Yes,4.5,2026-08-27,C,58500.0
22,C-0132,237165,2022,Cadillac,Escalade,ESV Premium Luxury,BLACK,91036,Yes,4.4,2026-08-27,C,40500.0
20,C-0148,237084,2023,Cadillac,XT5,Premium Luxury,BLACK,42597,Yes,4.4,2026-08-27,C,25750.0
14,T-0018,236316,2014,Chevrolet,Captiva Sport,Fleet LS,WHITE,115073,Yes,"",2026-08-27,T,800.0
14,D-0159,235814,2005,Chevrolet,Colorado,1SE LS Z71,SILVER,314673,Yes,"",2026-08-27,D,2000.0
13,D-0109,237078,2007,Chevrolet,Corvette,2dr Conv,BLACK,38473,No,"",2026-08-27,D,21500.0
24,C-0182,237320,2017,Chevrolet,Cruze,LT,GRAY,126809,Yes,3.3,2026-08-27,C,3100.0
14,BB-0021,236990,2011,Chevrolet,Equinox,LTZ,BLACK,127606,Yes,"",2026-08-27,BB,1100.0
14,BB-0008,236643,2011,Chevrolet,Impala,LT Fleet,RED,132606,Yes,"",2026-08-27,BB,800.0
14,C-0144,237301,2024,Chevrolet,Silverado 1500,LT,GRAY,17093,Yes,4.6,2026-08-27,C,38250.0
27,B-0014,236720,2020,Chevrolet,Silverado 1500,Work Truck,WHITE,178845,Yes,3.1,2026-08-27,B,11400.0
15,D-0103,236854,2017,Chevrolet,Silverado 1500,LT,BLACK,87296,No,"",2026-08-27,D,17400.0
26,DD-0030,237068,2007,Chevrolet,Silverado 1500,LT w/1LT,BLUE,127445,Yes,2.1,2026-08-27,DD,4800.0
22,B-0088,237115,2005,Chevrolet,Silverado 1500,Z71,BLACK,112312,Yes,2.3,2026-08-27,B,7000.0
25,D-0078,236992,2022,Chevrolet,Silverado 1500 LTD,Custom,GRAY,83213,Yes,3.3,2026-08-27,D,19500.0
30,C-0181,237087,2019,Chevrolet,Suburban,LT,BLACK,181230,Yes,2.9,2026-08-27,C,7900.0
15,D-0058,236337,2018,Chevrolet,Suburban,Premier,BLACK,150423,No,"",2026-08-27,D,8800.0
18,C-0079,237015,2023,Chevrolet,Tahoe,Premier,WHITE,90540,Yes,4.7,2026-08-27,C,36500.0
27,C-0139,237158,2021,Chevrolet,Tahoe,RST,WHITE,85262,Yes,3.5,2026-08-27,C,34250.0
26,B-0076,237071,2019,Chevrolet,Traverse,LT Cloth,GRAY,141312,Yes,3.0,2026-08-27,B,5800.0
29,C-0185,237089,2016,Chrysler,Town & Country,Touring,GRAY,122260,Yes,2.7,2026-08-27,C,2900.0
25,BB-0026,237047,2014,Chrysler,Town & Country,Touring-L,RED,123868,Yes,2.8,2026-08-27,BB,2600.0
23,C-0078,236933,2005,Chrysler,Town & Country,Touring,BLUE,110889,Yes,3.7,2026-08-27,C,2400.0
32,DD-0003,1007248,2021,Chrysler,Voyager,LXi,BLACK,139447,Yes,2.1,2026-08-27,DD,3000.0
18,C-0007,1007051,2022,Dodge,Charger,R/T,WHITE,70167,Yes,4.4,2026-08-27,C,26400.0
14,BB-0016,236750,2001,Dodge,Dakota,Base,BROWN,136322,No,"",2026-08-27,BB,3600.0
15,C-0070,237017,2026,Dodge,Durango,R/T 392 Premium,GRAY,2043,Yes,4.1,2026-08-27,C,45900.0
18,D-0019,236609,2024,Dodge,Durango,R/T Plus,WHITE,50876,Yes,4.3,2026-08-27,D,30250.0
24,C-0167,237290,2018,Dodge,Durango,R/T,WHITE,114753,Yes,4.2,2026-08-27,C,18200.0
49,DD-0004,1007006,2014,Dodge,Durango,Limited,WHITE,1,Yes,1.9,2026-08-27,DD,2000.0
19,C-0091,236922,2024,Ford,Bronco,Badlands,RED,6992,Yes,5.0,2026-08-27,C,42000.0
15,C-0121,237010,2024,Ford,Bronco,Outer Banks,BLACK,30995,Yes,4.8,2026-08-27,C,37400.0
19,C-0103,236510,2019,Ford,Edge,Titanium,SILVER,92426,Yes,4.4,2026-08-27,C,9400.0
15,B-0011,236874,2018,Ford,Escape,SE,GRAY,105065,Yes,"",2026-08-27,B,5400.0
14,B-0042,236650,2010,Ford,Escape,Limited,BLUE,89455,No,"",2026-08-27,B,4200.0
20,C-0131,237118,2025,Ford,Expedition,Platinum,WHITE,13481,Yes,4.6,2026-08-27,C,64000.0
22,BB-0042,237070,2016,Ford,Expedition,Limited,BLACK,195810,Yes,3.2,2026-08-27,BB,4600.0
28,C-0099,236895,2019,Ford,Expedition Max,Platinum,WHITE,119530,Yes,3.8,2026-08-27,C,19600.0
15,B-0084,237029,2018,Ford,Expedition Max,Limited,BLACK,113886,Yes,4.8,2026-08-27,B,14600.0
34,C-0102,236915,2016,Ford,Explorer,Platinum,BLACK,163469,Yes,2.5,2026-08-27,C,5400.0
15,D-0144,236497,2015,Ford,Explorer,XLT,BLACK,122975,Yes,"",2026-08-27,D,3400.0
14,BB-0014,236806,2006,Ford,Explorer,XLT,BURGUNDY,97317,Yes,"",2026-08-27,BB,3200.0
13,C-0154,237300,2026,Ford,F150,XL,BLACK,512,Yes,4.8,2026-08-27,C,45500.0
18,C-0106,236647,2023,Ford,F150,Lariat,GRAY,118180,Yes,4.6,2026-08-27,C,23000.0
24,C-0156,237287,2023,Ford,F150,XL,GRAY,92946,Yes,3.2,2026-08-27,C,19750.0
21,C-0054,236835,2022,Ford,F150,Lariat,RED,59683,Yes,4.2,2026-08-27,C,37400.0
29,D-0073,236839,2022,Ford,F150,Lariat,WHITE,83351,Yes,3.6,2026-08-27,D,32000.0
18,D-0102,236978,2018,Ford,F150,Platinum,RED,158064,Yes,4.0,2026-08-27,D,16200.0
24,D-0060,235835,2018,Ford,F150,Raptor,RED,86764,Yes,3.9,2026-08-27,D,30500.0
16,D-0126,237106,2018,Ford,F150,XLT,WHITE,71674,Yes,4.6,2026-08-27,D,16600.0
14,B-0064,236962,2010,Ford,F150,XL,GRAY,197325,Yes,"",2026-08-27,B,4400.0
25,DD-0028,237069,2014,Ford,Flex,SE,BLUE,116722,Yes,2.4,2026-08-27,DD,4000.0
