Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
24,BB-0190,259503,2020,Acura,ILX,w/Premium/A-SPEC Pkg,BLUE,76569,Yes,3.7,2026-08-13,BB,16200.0
25,AA-0264,259363,2014,Acura,MDX,Advance/Entertainment Pkg,GRAY,203438,Yes,4.1,2026-08-13,AA,4200.0
27,AA-0200,258932,2012,Acura,MDX,Tech/Entertainment Pkg,WHITE,188524,Yes,4.4,2026-08-13,AA,3200.0
29,AA-0207,259240,2011,Acura,MDX,Tech Pkg,GRAY,177643,Yes,3.2,2026-08-13,AA,3200.0
24,AA-0028,259067,2008,Acura,RDX,4WD 4dr AWD,GRAY,115549,Yes,4.2,2026-08-13,AA,5400.0
31,AA-0267,259371,2010,Acura,TL,4dr Sdn,BLACK,185107,Yes,2.1,2026-08-13,AA,800.0
34,DD-0010,259152,2005,Acura,TL,4dr Sdn AT,SILVER,123370,Yes,2.0,2026-08-13,DD,800.0
26,AA-0117,259032,2019,Audi,A3,Sedan Premium,GRAY,94137,Yes,2.2,2026-08-13,AA,7800.0
24,D-0045,259431,2018,Audi,A3,Sedan Premium Plus,WHITE,76671,Yes,4.2,2026-08-13,D,7800.0
21,BB-0193,259185,2016,Audi,A3,2.0T Premium,BLACK,107425,Yes,4.0,2026-08-13,BB,5200.0
28,BB-0113,258978,2019,Audi,A4,Premium Plus,BLACK,96656,Yes,2.8,2026-08-13,BB,10600.0
26,AA-0026,258980,2013,Audi,A4,Premium Plus,SILVER,72499,Yes,4.1,2026-08-13,AA,4800.0
32,AA-0159,259205,2009,Audi,A4,2.0T Prem,WHITE,126964,Yes,2.0,2026-08-13,AA,600.0
23,BB-0180,259440,2022,Audi,Q3 S-Line,S line Premium Plus,RED,66812,Yes,4.2,2026-08-13,BB,17400.0
36,BB-0045,258681,2015,Audi,Q5,Premium Plus,BLACK,113346,Yes,1.8,2026-08-13,BB,2600.0
