Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
15,A-0026,704052,2013,Acura,RDX,4dr,SILVER,150273,No,"",2026-08-04,A,5300.0
15,CR-0190,703977,2006,Acura,TL,4dr Sdn AT,SILVER,164666,No,"",2026-08-04,CR,1400.0
14,I-0027,703465,2008,Acura,TSX,4dr Sdn Auto,GRAY,1,No,"",2026-08-04,I,500.0
15,ER-0077,703872,2013,Audi,Q5,Premium Plus,BLACK,153075,No,"",2026-08-04,ER,2500.0
15,EX-0004,704180,2013,BMW,3-Series,328i,WHITE,167136,No,"",2026-08-04,EX,1300.0
34,IR-0015,701460,2010,BMW,3-Series,328i,BLUE,193142,Yes,0.9,2026-08-04,IR,450.0
16,CR-0236,703845,2011,Buick,Enclave,CXL-1,WHITE,169963,No,"",2026-08-04,CR,1100.0
15,D-0013,704131,2020,Buick,Encore,Preferred,BLACK,151073,No,"",2026-08-04,D,3100.0
31,CR-0033,699823,2016,Buick,LaCrosse,Base,SILVER,150194,Yes,1.7,2026-08-04,CR,2000.0
25,B-0024,703684,2012,Buick,LaCrosse,Premium 2,BLACK,128064,Yes,3.9,2026-08-04,B,5900.0
15,CR-0203,703905,2011,Buick,LaCrosse,CXS,BROWN,119824,No,"",2026-08-04,CR,2300.0
15,CR-0233,703232,2019,Buick,Regal,Sportback Preferred,GRAY,208161,No,"",2026-08-04,CR,1800.0
15,I-0029,703470,2015,Buick,Verano,Leather Group,WHITE,167653,No,"",2026-08-04,I,450.0
43,B-0015,703345,2016,Cadillac,ATS,Sedan Luxury Collection,RED,91307,Yes,2.7,2026-08-04,B,6800.0
40,B-0012,704003,2012,Cadillac,CTS,Sedan Performance,BLACK,113155,Yes,2.8,2026-08-04,B,6100.0
31,B-0028,704012,2013,Cadillac,SRX,Luxury Collection,SILVER,140411,Yes,3.6,2026-08-04,B,5100.0
25,BX-0008,703333,2019,Cadillac,XT5,Luxury,BROWN,125137,Yes,4.6,2026-08-04,BX,9900.0
22,B-0020,704014,2018,Cadillac,XT5,Luxury,RED,146733,Yes,4.3,2026-08-04,B,8200.0
15,CR-0229,702859,2013,Cadillac,XTS,Luxury,SILVER,94426,No,"",2026-08-04,CR,1900.0
15,B-0044,703858,2007,Chevrolet,Avalanche,LTZ,RED,269258,No,"",2026-08-04,B,1100.0
28,BR-0074,701442,2019,Chevrolet,Express Commercial Cutaway,"3500 Van 177""",WHITE,106573,Yes,3.3,2026-08-04,BR,7600.0
34,IR-0013,699307,2019,Chevrolet,Impala,LS,GRAY,153393,Yes,0.9,2026-08-04,IR,600.0
15,MP-0001,703828,2017,Chevrolet,Impala,LT,BLUE,147878,No,"",2026-08-04,MP,700.0
15,E-0041,704067,2016,Chevrolet,Impala,LT,WHITE,73941,No,"",2026-08-04,E,8500.0
15,D-0034,704151,2016,Chevrolet,Impala,LT,WHITE,194145,No,"",2026-08-04,D,3300.0
15,CR-0197,702441,2013,Chevrolet,Impala,LS,SILVER,173035,No,"",2026-08-04,CR,450.0
15,MP-0003,703916,2011,Chevrolet,Impala,LT Fleet,BLACK,134530,No,"",2026-08-04,MP,2000.0
15,A-0023,704212,2011,Chevrolet,Impala,LT Fleet,BLACK,240174,No,"",2026-08-04,A,450.0
15,CR-0238,703758,2018,Chevrolet,Malibu,LS,SILVER,235280,No,"",2026-08-04,CR,1500.0
15,A-0010,704074,2013,Chevrolet,Malibu,LT,GOLD,181281,No,"",2026-08-04,A,700.0
15,CR-0194,702379,2012,Chevrolet,Malibu,LS w/1FL,WHITE,112524,No,"",2026-08-04,CR,1000.0
15,D-0011,704170,2010,Chevrolet,Malibu,LT w/1LT,WHITE,184743,No,"",2026-08-04,D,600.0
15,CR-0201,703918,2007,Chevrolet,Malibu,LS w/1LS,SILVER,195899,No,"",2026-08-04,CR,450.0
22,IR-0034,703962,2003,Chevrolet,Malibu,4dr Sdn,GOLD,128819,Yes,0.9,2026-08-04,IR,450.0
15,A-0001,704063,2021,Chevrolet,Silverado 1500,LT,BLACK,98552,No,"",2026-08-04,A,21800.0
37,CR-0027,700669,2017,Chevrolet,Silverado 1500,LT,BLACK,192864,Yes,1.6,2026-08-04,CR,4800.0
14,D-0032,704120,2017,Chevrolet,Silverado 1500,Work Truck,WHITE,151355,No,"",2026-08-04,D,5000.0
45,IR-0017,698149,2014,Chevrolet,Silverado 1500,LT,SILVER,261624,Yes,0.9,2026-08-04,IR,1200.0
29,BX-0013,704024,2014,Chevrolet,Silverado 1500,LT,BLACK,172187,Yes,3.2,2026-08-04,BX,9400.0
32,IR-0014,698150,2014,Chevrolet,Silverado 1500,Work Truck,WHITE,209823,Yes,0.9,2026-08-04,IR,600.0
15,A-0038,703851,2013,Chevrolet,Silverado 1500,LT,GRAY,239512,No,"",2026-08-04,A,4000.0
40,CR-0090,699959,2013,Chevrolet,Silverado 1500,LT,WHITE,223352,Yes,2.2,2026-08-04,CR,2500.0
40,CR-0050,701513,2009,Chevrolet,Silverado 1500,LT,RED,204952,Yes,2.3,2026-08-04,CR,3000.0
