Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
7,B-500,320353,2007,Acura,MDX,"",SILVER,168953,No,"",2026-08-03,B,1600.0
6,B-541,319014,2010,Acura,TSX,"",BLACK,164157,No,"",2026-08-03,B,1700.0
8,A-516,320394,2021,Audi,Q8,"",BLUE,33218,No,"",2026-08-03,A,33500.0
8,B-545,319888,2015,BMW,3-Series,"",BLACK,112065,No,"",2026-08-03,B,2800.0
7,A-515,320393,2011,BMW,3-Series,335i,BLACK,130777,No,"",2026-08-03,A,3300.0
3,B-703,319912,2005,BMW,X3,3.0I,BLUE,136507,No,"",2026-08-03,B,800.0
8,A-541,320094,2011,BMW,X5,"",GRAY,186975,No,"",2026-08-03,A,2100.0
8,B-704,320139,2005,BMW,X5,"",BLACK,258905,No,"",2026-08-03,B,500.0
6,B-550,319890,2014,Buick,Enclave,CONVENIENCE,BLACK,195701,No,"",2026-08-03,B,700.0
3,I-013,320527,2017,Buick,Encore,Preferred II,WHITE,102306,No,"",2026-08-03,I,900.0
7,A-529,319963,2015,Buick,Encore,Premium,BROWN,125964,No,"",2026-08-03,A,2600.0
8,B-513,320408,2011,Buick,Regal,CXL RL4,BLUE,93018,No,"",2026-08-03,B,3100.0
8,A-701,320264,2014,Cadillac,CTS,"",BLACK,226330,No,"",2026-08-03,A,1300.0
9,A-900,320321,2012,Cadillac,CTS,"",BROWN,119741,No,"",2026-08-03,A,700.0
8,B-543,319913,2007,Cadillac,CTS,4DR SDN 3.6L,BLACK,55490,No,"",2026-08-03,B,800.0
8,A-524.3,320549,2016,Cadillac,Escalade,ESV,WHITE,131454,No,"",2026-08-03,A,13400.0
5,A-820,320244,2008,Cadillac,Escalade,1500,BLACK,181188,No,"",2026-08-03,A,1400.0
0,A-548,320499,2015,Cadillac,SRX,LUXURY COLLECTIO,GRAY,137886,No,"",2026-08-03,A,2700.0
8,A-553,320548,2021,Cadillac,XT5,"",BLACK,90366,No,"",2026-08-03,A,17600.0
8,B-551,319896,2004,Chevrolet,Avalanche,1500,SILVER,226592,No,"",2026-08-03,B,700.0
8,A-550,320463,2011,Chevrolet,Camaro,"",GREEN,137123,No,"",2026-08-03,A,4900.0
7,B-509,320406,2006,Chevrolet,Cobalt,LS,WHITE,62946,No,"",2026-08-03,B,1500.0
8,B-552,319879,2018,Chevrolet,Cruze,LS,RED,172082,No,"",2026-08-03,B,2200.0
8,B-564,320363,2012,Chevrolet,Cruze,"",BLACK,178983,No,"",2026-08-03,B,600.0
7,A-544.1,317948,2012,Chevrolet,Cruze,2LS,BLUE,125357,No,"",2026-08-03,A,650.0
8,A-602,320439,2011,Chevrolet,Cruze,LT W/1LT,WHITE,116141,No,"",2026-08-03,A,600.0
8,A-522,320401,2016,Chevrolet,Equinox,"",BLUE,111580,No,"",2026-08-03,A,3600.0
8,I-010,320301,2000,Chevrolet,G1500 Vans,"",WHITE,188009,No,"",2026-08-03,I,500.0
6,I-004,317997,2019,Chevrolet,Malibu,LT (2FL),WHITE,228326,No,"",2026-08-03,I,1000.0
6,A-492,320515,2018,Chevrolet,Malibu,"",WHITE,102110,No,"",2026-08-03,A,6400.0
5,A-495,320539,2006,Chevrolet,Monte Carlo,"",BLACK,185852,No,"",2026-08-03,A,1500.0
9,B-901,316868,2003,Chevrolet,Silverado 1500,SS,BLACK,92364,No,"",2026-08-03,B,1000.0
6,B-907,320119,2002,Chevrolet,Silverado 1500,"",GRAY,320386,No,"",2026-08-03,B,800.0
7,B-514,320399,2002,Chevrolet,Silverado 2500,2500HD LS,GREEN,198542,No,"",2026-08-03,B,2600.0
6,B-574,317481,2006,Chevrolet,Trailblazer,LS,WHITE,224278,No,"",2026-08-03,B,600.0
8,A-509,320552,2014,Chrysler,300,4DR SDN,GRAY,157856,No,"",2026-08-03,A,3400.0
6,B-501,319838,2024,Chrysler,Pacifica,Touring L,BLACK,37576,No,"",2026-08-03,B,16500.0
0,A-502.2,320450,2021,Chrysler,Pacifica,Touring,WHITE,76066,No,"",2026-08-03,A,14700.0
8,A-703,320329,2005,Chrysler,Pacifica,"",SILVER,130852,No,"",2026-08-03,A,600.0
7,B-553,319925,2008,Chrysler,Sebring,"",BLUE,134065,No,"",2026-08-03,B,500.0
8,B-556,319272,2010,Chrysler,Town & Country,"",WHITE,230819,No,"",2026-08-03,B,600.0
7,A-705,320378,2000,Dodge,Dakota,"",SILVER,154184,No,"",2026-08-03,A,700.0
7,A-544.3,317487,2013,Dodge,Dart,"",GRAY,123819,No,"",2026-08-03,A,675.0
7,B-903,317109,2013,Dodge,Dart,SXT,BLUE,175959,No,"",2026-08-03,B,400.0
8,A-524.1,320495,2020,Dodge,Durango,PURSUIT,WHITE,90635,No,"",2026-08-03,A,4400.0
5,I-012,320420,2013,Dodge,Durango,SXT,RED,151089,No,"",2026-08-03,I,1200.0
8,B-850,320209,2016,Dodge,Grand Caravan,SE,WHITE,258814,No,"",2026-08-03,B,3000.0
6,B-542,317913,2009,Dodge,Grand Caravan,"",RED,148758,No,"",2026-08-03,B,650.0
8,A-706,320429,2006,Dodge,Grand Caravan,"",SILVER,137003,No,"",2026-08-03,A,500.0
8,A-501,319981,2018,Dodge,Journey,"",GRAY,109512,No,"",2026-08-03,A,3200.0
8,A-526,320269,2015,Dodge,Journey,SXT,GRAY,81721,No,"",2026-08-03,A,3900.0
6,B-565,320298,2010,Dodge,Journey,SXT,BLUE,183241,No,"",2026-08-03,B,800.0
8,B-563,320012,2011,Dodge,RAM PICKUP 1500,"",RED,295849,No,"",2026-08-03,B,1100.0
5,I-006,320076,2000,EZGO,GOLFCART,"",GREEN,999999,No,"",2026-08-03,I,2700.0
1,B-572,320176,2012,Ford,E250 Vans,"",WHITE,137398,No,"",2026-08-03,B,1000.0
7,B-708,319670,2008,Ford,E250 Vans,"",BLACK,349187,No,"",2026-08-03,B,600.0
6,A-601,320198,2005,Ford,E250 Vans,"",WHITE,395537,No,"",2026-08-03,A,500.0
8,B-516,320334,2018,Ford,Edge,"",BLUE,93207,No,"",2026-08-03,B,5800.0
8,A-533,320509,2019,Ford,Escape,SE,GRAY,137366,No,"",2026-08-03,A,1100.0
6,B-510.1,320302,2012,Ford,Escape,XLT,GREEN,181515,No,"",2026-08-03,B,700.0
8,A-603,320454,2010,Ford,Expedition,XLT,BLACK,220895,No,"",2026-08-03,A,700.0
0,A-502.1,320449,2020,Ford,Explorer,ST,GRAY,43831,No,"",2026-08-03,A,23600.0
8,B-512,320409,2015,Ford,Explorer,4DR BAS,BLACK,114833,No,"",2026-08-03,B,4500.0
8,B-515,320332,2011,Ford,Explorer,"",WHITE,162330,No,"",2026-08-03,B,3800.0
8,B-517,320391,2015,Ford,F150,XLT,RED,154382,No,"",2026-08-03,B,11200.0
4,A-708,320452,2006,Ford,F150,STX,BLACK,198387,No,"",2026-08-03,A,1200.0
8,A-558.2,320455,2016,Ford,Focus,SE,WHITE,160663,No,"",2026-08-03,A,1900.0
5,B-906,319323,2014,Ford,Focus,SE,RED,999999,No,"",2026-08-03,B,500.0
8,B-528,320458,2010,Ford,Focus,SEL,RED,223734,No,"",2026-08-03,B,500.0
5,B-533,320476,2009,Ford,Focus,SE,BLUE,185670,No,"",2026-08-03,B,700.0
7,A-845,319952,2015,Ford,Fusion,ENERGI,WHITE,248554,No,"",2026-08-03,A,1000.0
8,B-709,320318,2000,Ford,Mustang,"",GREEN,119069,No,"",2026-08-03,B,600.0
5,B-571,320118,2013,Ford,Taurus,Limited,GREEN,184287,No,"",2026-08-03,B,900.0
7,B-558,319897,2006,Ford,Taurus,"",BLUE,167837,No,"",2026-08-03,B,500.0
8,B-510,320405,2006,GMC,Envoy,SLE,WHITE,215709,No,"",2026-08-03,B,500.0
4,I-002,320526,2004,GMC,Envoy XUV,SLE,RED,218056,No,"",2026-08-03,I,600.0
7,A-902,320336,2005,GMC,Sierra 1500,"",BLACK,999999,No,"",2026-08-03,A,700.0
8,A-544.2,317142,2015,Honda,Accord,"",BLACK,142869,No,"",2026-08-03,A,2700.0
8,A-551,320483,2008,Honda,Accord,SDN EX-L,GREEN,203428,No,"",2026-08-03,A,1900.0
0,A-493,320521,2004,Honda,Accord,CPE EX,SILVER,256508,No,"",2026-08-03,A,600.0
5,B-904,317219,2001,Honda,Accord,EX,TAN,123149,No,"",2026-08-03,B,500.0
8,A-507,320275,2017,Honda,Civic,"",GRAY,93688,No,"",2026-08-03,A,10200.0
8,A-716,320337,2012,Honda,Civic,"",SILVER,327931,No,"",2026-08-03,A,500.0
8,A-494,320511,2012,Honda,Civic,CPE EX,BLUE,220368,No,"",2026-08-03,A,1100.0
8,B-504,320373,2007,Honda,Civic,"",BLACK,162553,No,"",2026-08-03,B,1600.0
0,A-502.3,320451,2018,Honda,CR-V,EX,GRAY,101443,No,"",2026-08-03,A,9600.0
7,B-838,320248,2014,Honda,CR-V,LX,GRAY,220904,No,"",2026-08-03,B,3000.0
8,B-705,320153,2007,Honda,CR-V,"",GRAY,73378,No,"",2026-08-03,B,5400.0
8,A-505,320253,2021,Honda,Insight,EX,RED,70816,No,"",2026-08-03,A,12200.0
8,A-543,317473,2019,Honda,Insight,"",WHITE,234450,No,"",2026-08-03,A,4200.0
8,A-715,320185,2006,Honda,Pilot,LX,GRAY,248982,No,"",2026-08-03,A,500.0
7,I-015,315006,2011,Hyundai,Accent,"",BLACK,139231,No,"",2026-08-03,I,700.0
0,A-558.3,320573,2011,Hyundai,Accent,GS,BLUE,142456,No,"",2026-08-03,A,1300.0
8,A-555,320388,2016,Hyundai,Elantra,VALUE EDITIO,BROWN,222106,No,"",2026-08-03,A,1100.0
6,I-007,320177,2015,Hyundai,Elantra,"",BLACK,158463,No,"",2026-08-03,I,600.0
8,B-503,320352,2010,Hyundai,Elantra,"",BLACK,133734,No,"",2026-08-03,B,1600.0
8,A-498,320545,2014,Hyundai,Santa Fe Sport,4,ORANGE,148759,No,"",2026-08-03,A,4100.0
6,A-552,320537,2023,Hyundai,Tucson,"",RED,28394,No,"",2026-08-03,A,17600.0
8,A-506,320255,2020,Hyundai,Tucson,ULTIMATE,WHITE,97534,No,"",2026-08-03,A,10800.0
8,B-905,319315,2007,Hyundai,Tucson,"",BLACK,202026,No,"",2026-08-03,B,400.0
8,B-702,319858,2006,INFINITI,G35,COUPE 2DR CPE AU,BLACK,134917,No,"",2026-08-03,B,1100.0
8,A-610,320364,2012,INFINITI,G37,"",GRAY,140182,No,"",2026-08-03,A,2700.0
6,B-506,320356,2011,Jeep,Compass,SPORT,RED,132751,No,"",2026-08-03,B,500.0
8,B-710,317540,1997,Jeep,Grand Cherokee,"",SILVER,171318,No,"",2026-08-03,B,600.0
8,B-561,320021,2004,Jeep,Liberty,"",BEIGE,246153,No,"",2026-08-03,B,500.0
0,A-558,320575,2014,Jeep,Patriot,Sport,WHITE,153575,No,"",2026-08-03,A,1100.0
7,I-021,320328,2012,Jeep,Patriot,Latitude,ORANGE,120465,No,"",2026-08-03,I,600.0
8,A-815,320489,2015,Jeep,Renegade,Latitude,BLACK,148479,No,"",2026-08-03,A,2000.0
