Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
47,W-180,560801,2009,Acura,TSX,4DR SDN AUTO,GRAY,168698,Yes,2.0,2026-08-27,W,1600.0
44,W-165,558846,2018,Audi,A3,SEDAN PREMIUM PLU,BLACK,116740,Yes,2.0,2026-08-27,W,4000.0
38,S-047,562119,2016,Audi,A3,1.8T PREMIUM,WHITE,148657,Yes,3.4,2026-08-27,S,2700.0
40,S-043,563864,2017,Audi,A4,Premium Plus,WHITE,131249,Yes,3.3,2026-08-27,S,5400.0
40,W-014,561211,2016,Audi,A4,Premium,GRAY,122658,Yes,3.5,2026-08-27,W,4400.0
46,W-057,561201,2013,Audi,Q5,Premium,BLUE,141516,Yes,3.0,2026-08-27,W,1300.0
35,W-023,561801,2022,Audi,Q7,PREMIUM PLUS,BLACK,70168,Yes,4.7,2026-08-27,W,17200.0
56,W-033,560933,2019,BMW,4-Series,430I,WHITE,117158,Yes,2.1,2026-08-27,W,7100.0
41,W-069,560397,2014,BMW,4-Series,428i,BLACK,96055,Yes,2.7,2026-08-27,W,4000.0
47,W-061,553945,2012,BMW,5-Series,535I XDRIVE,BLUE,138839,Yes,2.9,2026-08-27,W,1300.0
59,W-080,551813,2015,BMW,7 SERIES 750I,"",BLUE,135956,Yes,2.5,2026-08-27,W,1800.0
34,S-006,563634,2020,BMW,7-Series,750I XDRIVE,WHITE,24840,Yes,4.3,2026-08-27,S,26600.0
43,W-119,562176,2014,BMW,M5,4DR SDN,RED,145722,Yes,2.0,2026-08-27,W,5600.0
51,S-037,563654,2017,BMW,X5,XDrive35i,BLACK,103521,Yes,2.3,2026-08-27,S,8600.0
47,W-167,560470,2015,Buick,Enclave,Leather,GOLD,131814,Yes,2.0,2026-08-27,W,1000.0
68,W-117,562719,2015,Buick,Enclave,Leather,BLACK,217202,Yes,2.0,2026-08-27,W,650.0
47,S-048,563564,2016,Buick,Encore,Sport Touring,WHITE,136267,Yes,3.7,2026-08-27,S,3300.0
45,W-004,563573,2018,Cadillac,CT6,Platinum,BLACK,59803,Yes,2.7,2026-08-27,W,16500.0
50,S-035,563938,2017,Cadillac,CTS,SEDAN LUXURY,BLUE,50151,Yes,2.4,2026-08-27,S,7500.0
88,W-099,562373,2016,Cadillac,Escalade,LUXURY COLL,BLACK,160224,Yes,2.0,2026-08-27,W,6900.0
58,W-131,557433,2011,Cadillac,Escalade,Base,BLUE,162457,Yes,2.0,2026-08-27,W,1800.0
43,R-023,552705,2017,Cadillac,XT5,Luxury,WHITE,90954,Yes,2.0,2026-08-27,R,8400.0
64,W-141,561377,2013,Chevrolet,Captiva Sport,FLEET,WHITE,132265,Yes,2.0,2026-08-27,W,650.0
43,W-062,560823,2020,Chevrolet,Colorado, LT,GRAY,128152,Yes,2.8,2026-08-27,W,9000.0
47,W-137,560410,2017,Chevrolet,Colorado,Z71,BLACK,127920,Yes,2.0,2026-08-27,W,7800.0
32,S-010,562352,2017,Chevrolet,Corvette,"",GRAY,9041,Yes,4.7,2026-08-27,S,62600.0
37,S-036,562869,2003,Chevrolet,Corvette,2DR CPE,WHITE,82325,Yes,3.8,2026-08-27,S,9200.0
68,W-092,562851,2018,Chevrolet,Cruze,LS,BLACK,216151,Yes,2.1,2026-08-27,W,800.0
63,W-120,562872,2017,Chevrolet,Cruze,LT,SILVER,216170,Yes,2.0,2026-08-27,W,650.0
45,W-153,563003,2016,Chevrolet,Cruze,LS,RED,179039,Yes,2.0,2026-08-27,W,900.0
63,R-045,561674,2016,Chevrolet,Cruze,Premier,SILVER,140482,Yes,1.3,2026-08-27,R,1000.0
46,R-033,559130,2014,Chevrolet,Cruze,1LT,RED,139499,Yes,1.3,2026-08-27,R,1400.0
45,W-122,554399,2016,Chevrolet,Cruze Limited,LS,BLACK,90483,Yes,2.0,2026-08-27,W,700.0
52,W-067,559708,2016,Chevrolet,Cruze Limited,LT,BLACK,119340,Yes,2.8,2026-08-27,W,650.0
25,S-007,563779,2025,Chevrolet,Equinox,LT,WHITE,37708,Yes,4.6,2026-08-27,S,20400.0
47,S-013,563434,2021,Chevrolet,Equinox,LT,BLACK,46001,Yes,3.8,2026-08-27,S,14400.0
50,W-105,560082,2020,Chevrolet,Equinox,LT,BLACK,52394,Yes,2.0,2026-08-27,W,3000.0
40,S-018,563834,2020,Chevrolet,Equinox,Premier,BLUE,73123,Yes,3.5,2026-08-27,S,13500.0
33,S-039,563936,2020,Chevrolet,Express Cargo,VAN RW,WHITE,138858,Yes,2.8,2026-08-27,S,6600.0
30,R-079,559329,2014,Chevrolet,G1500 Vans,"",WHITE,178777,Yes,1.8,2026-08-27,R,1500.0
52,R-039,560095,2019,Chevrolet,Impala,LT,SILVER,109407,Yes,1.3,2026-08-27,R,3200.0
46,W-102,560705,2015,Chevrolet,Impala Limited,LS,WHITE,196505,Yes,2.0,2026-08-27,W,700.0
49,W-052,561940,2021,Chevrolet,Malibu,LT,BLACK,95000,Yes,3.1,2026-08-27,W,7200.0
57,R-071,562044,2019,Chevrolet,Malibu,LT,BLACK,77834,Yes,3.1,2026-08-27,R,10000.0
46,W-093,555590,2018,Chevrolet,Malibu,LT,RED,197988,Yes,2.0,2026-08-27,W,650.0
67,R-054,561885,2014,Chevrolet,Malibu,LT,GOLD,172145,Yes,1.8,2026-08-27,R,2400.0
38,W-079,562322,2022,Chevrolet,Silverado 1500,LT,BLUE,78045,Yes,2.5,2026-08-27,W,18000.0
34,W-013,562949,2020,Chevrolet,Silverado 1500,LT TR,BLACK,122768,Yes,3.5,2026-08-27,W,20600.0
51,R-080,560426,2020,Chevrolet,Silverado 1500,WORK,WHITE,179640,Yes,1.4,2026-08-27,R,3100.0
39,R-051,560202,2018,Chevrolet,Silverado 1500,LT,BLUE,166434,Yes,3.5,2026-08-27,R,9800.0
42,R-074,562166,2017,Chevrolet,Silverado 1500,WORK,WHITE,184007,Yes,2.3,2026-08-27,R,2400.0
55,W-125,560386,2015,Chevrolet,Silverado 1500,WORK,RED,282496,Yes,2.0,2026-08-27,W,2200.0
62,R-078,562163,2014,Chevrolet,Silverado 1500,WORK,WHITE,185063,Yes,1.5,2026-08-27,R,2200.0
59,W-115,562715,2011,Chevrolet,Silverado 1500,LT,WHITE,255018,Yes,2.0,2026-08-27,W,1600.0
38,R-025,560957,2020,Chevrolet,Sonic,LT,RED,98389,Yes,4.5,2026-08-27,R,3700.0
50,W-169,561209,2003,Chevrolet,SSR,LS,BLACK,65208,Yes,2.0,2026-08-27,W,10000.0
45,W-104,562506,2015,Chevrolet,Suburban,LTZ,BLACK,194263,Yes,2.0,2026-08-27,W,3900.0
62,W-113,560546,2015,Chevrolet,Suburban,LTZ,BLACK,150658,Yes,2.0,2026-08-27,W,6200.0
43,S-029,563600,2019,Chevrolet,Tahoe,LT,BLACK,129929,Yes,3.7,2026-08-27,S,14000.0
