Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
28,D-058,180214,2025,Acura,ADX,W/A-SPEC PACKAGE,BLACK,3817,Yes,4.9,2026-09-02,D,31700.0
38,B-392,180597,2017,Acura,ILX,W/PREMIUM PKG,GRAY,72614,Yes,4.5,2026-09-02,B,12800.0
29,O-006,178493,2026,Acura,Integra,W/A-SPEC TEC,BLUE,3683,Yes,4.9,2026-09-02,O,31400.0
27,X-001,179908,2024,Acura,Integra,CVT,BLACK,19219,Yes,4.5,2026-09-02,X,24700.0
24,D-145,181483,2024,Acura,Integra,CVT,BLACK,14557,Yes,"",2026-09-02,D,23300.0
29,D-078,180895,2024,Acura,Integra,W/A-SPEC PAC,GRAY,40545,Yes,4.4,2026-09-02,D,24200.0
34,D-076,180887,2024,Acura,Integra,W/A-SPEC TEC,GRAY,15861,Yes,3.7,2026-09-02,D,26600.0
26,C-186,180416,2026,Acura,MDX,W/TECHNOLOGY PAC,BLACK,5072,Yes,4.8,2026-09-02,C,45000.0
31,C-175,180401,2025,Acura,MDX,"",WHITE,25308,Yes,3.1,2026-09-02,C,36000.0
27,C-176,180402,2025,Acura,MDX,SH-,BLUE,18557,Yes,4.5,2026-09-02,C,37100.0
28,W-003,179325,2025,Acura,MDX,W/TECHNOLOGY PAC,BLACK,27666,Yes,4.5,2026-09-02,W,39500.0
26,C-183,180413,2025,Acura,MDX,W/TECHNOLOGY PAC,WHITE,21165,Yes,4.6,2026-09-02,C,43800.0
32,C-178,180411,2025,Acura,MDX,W/TECHNOLOGY PAC,RED,28767,Yes,3.7,2026-09-02,C,37900.0
26,C-179,180410,2024,Acura,MDX,"",BLUE,27118,Yes,4.4,2026-09-02,C,33800.0
27,B-410,180394,2024,Acura,MDX,SH-,SILVER,42495,Yes,4.3,2026-09-02,B,31600.0
30,X-004,179534,2024,Acura,MDX,W/TECHNOLOGY PAC,GRAY,16068,Yes,4.3,2026-09-02,X,38900.0
29,D-150,181495,2024,Acura,MDX,W/TECHNOLOGY PAC,WHITE,33629,Yes,4.3,2026-09-02,D,35000.0
0,W-008,180355,2024,Acura,MDX,W/TECHNOLOGY PAC,BLACK,32332,No,"",2026-09-02,W,35500.0
30,D-146,181486,2023,Acura,MDX,W/A-SPEC PACKAGE,RED,33375,Yes,4.3,2026-09-02,D,37000.0
9,B-415,181581,2023,Acura,MDX,W/A-SPEC PACKAGE,WHITE,42243,No,"",2026-09-02,B,33500.0
29,C-173,180420,2023,Acura,MDX,W/TECHNOLOGY PAC,BLUE,38850,Yes,4.4,2026-09-02,C,33900.0
35,D-037,180886,2020,Acura,MDX,W/TECHNOLOGY PKG,GRAY,65066,Yes,4.1,2026-09-02,D,21400.0
7,D-133,181386,2005,Acura,MDX,Touring,GRAY,244653,No,"",2026-09-02,D,500.0
31,O-001,179376,2025,Acura,RDX,W/A-SPEC PACKAGE,RED,12646,Yes,4.8,2026-09-02,O,39000.0
8,B-160.4,181180,2025,Acura,RDX,W/TECHNOLOGY PAC,GRAY,7713,No,"",2026-09-02,B,37000.0
30,D-067,178965,2024,Acura,RDX,W/TECHNOLOGY PAC,GRAY,39852,Yes,4.3,2026-09-02,D,31400.0
0,W-019,181536,2024,Acura,RDX,W/TECHNOLOGY PAC,BLUE,12932,No,"",2026-09-02,W,34400.0
8,B-412,181578,2023,Acura,RDX,W/TECHNOLOGY PAC,SILVER,23484,No,"",2026-09-02,B,29600.0
26,C-185,180431,2023,Acura,RDX,W/TECHNOLOGY PAC,BLUE,22769,Yes,4.5,2026-09-02,C,30600.0
31,D-149,181491,2023,Acura,RDX,W/TECHNOLOGY PAC,RED,39015,Yes,4.5,2026-09-02,D,29000.0
10,C-401,180815,2018,Acura,RDX,"",WHITE,84546,No,"",2026-09-02,C,9200.0
8,B-163,180349,2013,Acura,TL,4DR SDN AUTO,BLACK,97554,No,"",2026-09-02,B,5800.0
7,B-158,181573,2006,Acura,TL,4DR SDN AT,WHITE,176057,No,"",2026-09-02,B,1700.0
30,D-068,180786,2025,Acura,TLX,W/A-SPEC PACKAGE,GRAY,15896,Yes,2.8,2026-09-02,D,35500.0
24,A-101.3,181500,2021,Acura,TLX,W/TECHNOLOGY PAC,GRAY,44939,Yes,"",2026-09-02,A,21000.0
44,F-033,176224,2020,Acura,TLX,2.4L,WHITE,102609,Yes,1.3,2026-09-02,F,9500.0
7,C-388,180648,2019,Alfa Romeo,Giulia,TI SPORT,BLACK,89681,No,"",2026-09-02,C,7200.0
27,D-277,180629,2022,Alfa Romeo,Stelvio,VELOCE,GRAY,31762,Yes,4.3,2026-09-02,D,21200.0
30,A-142,180381,2021,Alfa Romeo,Stelvio,"",WHITE,57285,Yes,3.6,2026-09-02,A,14200.0
23,A-248,181411,2024,Audi,A3,PREMIUM,BLACK,32469,Yes,"",2026-09-02,A,17000.0
30,A-175.4,181328,2022,Audi,A3,PREMIUM,WHITE,43788,Yes,4.0,2026-09-02,A,19200.0
29,A-241,181468,2020,Audi,A3,SEDAN PREMIUM,WHITE,26778,Yes,4.6,2026-09-02,A,15200.0
26,B-140,180445,2018,Audi,A3,SEDAN PREMIUM,BLACK,78354,Yes,"",2026-09-02,B,6800.0
29,D-125,181368,2015,Audi,A3,1.8T PREMIUM,WHITE,103435,Yes,4.2,2026-09-02,D,5200.0
7,A-251,181552,2020,Audi,A3 SEDAN S LINE PREM,"",BLUE,98857,No,"",2026-09-02,A,8800.0
8,B-252,180618,2023,Audi,A4,SEDAN PREMIUM PLU,WHITE,34517,No,"",2026-09-02,B,21000.0
39,B-390,180596,2018,Audi,A4,Premium Plus,BLACK,86018,Yes,3.8,2026-09-02,B,13600.0
7,D-018,180885,2017,Audi,A4,Premium,GRAY,120454,No,"",2026-09-02,D,4800.0
7,D-253,180678,2006,Audi,A4,1.8T,TAN,155490,No,"",2026-09-02,D,2000.0
33,C-169,181017,2024,Audi,A5,SPORTBACK PREMIUM,WHITE,30486,Yes,3.4,2026-09-02,C,24600.0
34,B-431,179056,2018,Audi,A5,SPORTBACK PRESTIG,BLACK,63119,Yes,2.7,2026-09-02,B,15600.0
7,B-400,181504,2018,Audi,A5,SPORTBACK PRESTIG,BLACK,176353,No,"",2026-09-02,B,5700.0
25,A-247,181401,2015,Audi,A5,Premium,BLUE,106223,Yes,"",2026-09-02,A,5900.0
7,B-310,180080,2011,Audi,A5,2.0T PREMIUM PLUS,WHITE,139443,No,"",2026-09-02,B,2900.0
30,B-430,180598,2016,Audi,A6,"",BLACK,88309,Yes,3.4,2026-09-02,B,10600.0
33,B-038,179230,2015,Audi,A6,3.0L TDI PRESTIGE,BLACK,193642,Yes,2.6,2026-09-02,B,3900.0
7,B-131,181545,2015,Audi,A8,L,BLACK,122203,No,"",2026-09-02,B,6000.0
39,A-259,181485,2015,Audi,A8,L,BROWN,60223,Yes,3.6,2026-09-02,A,11600.0
30,A-246,181503,2022,Audi,Q3,Premium,BLACK,16981,Yes,"",2026-09-02,A,16600.0
8,A-263,181549,2022,Audi,Q3 S-Line,PREMIUM PL,BLACK,80641,No,"",2026-09-02,A,18200.0
25,A-245,181499,2021,Audi,Q3 S-Line,Premium,BLACK,43988,Yes,"",2026-09-02,A,17400.0
29,B-437,180987,2024,Audi,Q5,S LINE PREMIUM,GREEN,21924,Yes,3.9,2026-09-02,B,26400.0
30,B-398,181450,2020,Audi,Q5,Prestige,GRAY,64316,Yes,4.5,2026-09-02,B,16600.0
8,A-264,181550,2019,Audi,Q5,Premium Plus,GRAY,70391,No,"",2026-09-02,A,13000.0
24,A-260,181473,2015,Audi,Q5,Premium Plus,GRAY,86302,Yes,"",2026-09-02,A,6100.0
31,B-435,179058,2022,Audi,Q5 S-Line,"",WHITE,95801,Yes,2.7,2026-09-02,B,12400.0
31,A-254,181474,2022,Audi,Q5 S-Line,PRESTIGE,BLACK,71899,Yes,4.2,2026-09-02,A,18800.0
32,B-432,180633,2023,Audi,Q7,PREMIUM PLUS,BLACK,60646,Yes,3.9,2026-09-02,B,22750.0
28,B-436,181011,2023,Audi,Q7,PREMIUM PLUS,BLUE,28622,Yes,4.2,2026-09-02,B,28800.0
32,A-261,181540,2018,Audi,Q7,Premium Plus,SILVER,106844,Yes,3.5,2026-09-02,A,7900.0
