Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
52,Z-044,34881,2015,Acura,MDX,SH- 4DR,GRAY,124370,Yes,2.3,2026-07-21,Z,6600.0
8,Z-009,63740,2012,Acura,MDX,TECH PKG,WHITE,276617,No,"",2026-07-21,Z,2200.0
8,X-016,63566,2008,Acura,RL,TECH PKG,BLACK,194144,Yes,"",2026-07-21,X,800.0
38,A-058,33854,2023,Audi,A4,SEDAN S LINE PREM,WHITE,73481,Yes,4.1,2026-07-21,A,19000.0
33,X-005,34748,2012,Audi,A4,2.0T PREMIUM,GRAY,112360,Yes,2.0,2026-07-21,X,500.0
51,Z-037,63454,2015,Audi,Q3,2.0T PRESTIGE,GRAY,101281,Yes,2.7,2026-07-21,Z,2400.0
39,B-068,34653,2019,Audi,Q5,Premium,GRAY,50967,Yes,4.1,2026-07-21,B,17400.0
38,D-022,63724,2021,Audi,Q7,Premium Plus,TEAL,80071,Yes,4.2,2026-07-21,D,18500.0
30,D-076,35086,2017,Audi,Q7,"",BLACK,118519,Yes,"",2026-07-21,D,5600.0
29,E-060,63450,2025,BMW,2-Series,228 xDrive,WHITE,35375,Yes,4.7,2026-07-21,E,26600.0
21,A-114,63719,2011,BMW,3-Series,328I XDRIVE,BLACK,92667,No,"",2026-07-21,A,4200.0
21,A-022,63321,2003,BMW,3-Series,325i,BLACK,1,No,"",2026-07-21,A,1200.0
21,Z-025,63089,2005,BMW,5-Series,530i,WHITE,209741,No,"",2026-07-21,Z,600.0
20,A-097,63662,2007,BMW,7-Series,750Li,BLACK,169682,No,"",2026-07-21,A,1000.0
47,D-043,63558,2013,BMW,X3,XDrive35i,SILVER,167651,Yes,3.5,2026-07-21,D,3400.0
40,B-051,63358,2022,BMW,X5,sDrive40i,WHITE,49351,Yes,3.6,2026-07-21,B,27600.0
21,C-037,63434,2012,Buick,Enclave,Premium,WHITE,182003,No,"",2026-07-21,C,1200.0
