Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
15,B-025,183781,2011,Acura,MDX,TECHNOLOGY/ENTER,BLACK,174672,Yes,3.5,2026-08-13,B,2000.0
18,B-026,183782,2004,Acura,MDX,"",BLACK,208923,Yes,"",2026-08-13,B,700.0
18,B-057,183815,2015,Acura,RDX,"",BLACK,118128,Yes,3.8,2026-08-13,B,7000.0
20,B-070,183796,2012,Acura,TSX,"",BLACK,192757,Yes,3.7,2026-08-13,B,3400.0
9,I-004,183838,2016,Buick,Verano,"",WHITE,219954,Yes,"",2026-08-13,I,400.0
17,B-001,183802,2014,Chevrolet,Captiva Sport,LTZ,WHITE,114080,Yes,3.8,2026-08-13,B,3100.0
15,B-058,183750,2009,Chevrolet,Cobalt,LS,BLUE,249135,Yes,"",2026-08-13,B,500.0
22,B-006,183806,2014,Chevrolet,Silverado 1500,LT,BLACK,159921,Yes,3.0,2026-08-13,B,7500.0
22,B-032,183799,2018,Chevrolet,Tahoe,LT,WHITE,131690,Yes,3.8,2026-08-13,B,13000.0
32,B-005,183807,2019,Chevrolet,Trax,"",WHITE,82620,Yes,3.2,2026-08-13,B,6200.0
9,B-015,183827,2008,Dodge,Durango,SLT,WHITE,201141,Yes,"",2026-08-13,B,700.0
21,B-037,183821,2017,Ford,Escape,Titanium,GOLD,97000,Yes,3.7,2026-08-13,B,7200.0
17,B-022,183757,2013,Ford,Escape,SE,BLACK,165361,Yes,3.9,2026-08-13,B,1200.0
21,B-035,183820,2017,Ford,F150,LARIAT,RED,281854,Yes,"",2026-08-13,B,6900.0
18,B-038,183787,2014,Ford,F150,XL,WHITE,129557,Yes,3.8,2026-08-13,B,5900.0
20,B-088,183841,2013,Ford,Fusion,SE,BLACK,162089,Yes,2.7,2026-08-13,B,600.0
25,B-095,183793,2009,GMC,Sierra 2500,2500HD SLE,GRAY,184064,Yes,"",2026-08-13,B,1000.0
25,B-055,183813,2020,GMC,Terrain,SLT,WHITE,93324,Yes,2.5,2026-08-13,B,3000.0
25,B-077,183829,2013,GMC,Yukon,1500,BLACK,285850,Yes,"",2026-08-13,B,900.0
24,B-067,183740,2012,Honda,Accord,"",WHITE,192194,Yes,3.2,2026-08-13,B,2100.0
23,B-030,183785,2017,Honda,Civic,"",RED,150534,Yes,3.7,2026-08-13,B,7100.0
15,B-011,183822,2008,Honda,Civic,"",SILVER,250616,Yes,"",2026-08-13,B,1400.0
20,B-056,183814,2013,Honda,Pilot,"",WHITE,179845,Yes,3.2,2026-08-13,B,3500.0
18,B-106,183508,2015,Hyundai,Accent,GLS,RED,179908,Yes,"",2026-08-13,B,800.0
17,B-080,183839,2020,Hyundai,Elantra,"",BLACK,68793,Yes,3.7,2026-08-13,B,7000.0
27,B-084,183762,2011,Hyundai,Santa Fe,Limited,SILVER,156645,Yes,2.7,2026-08-13,B,3500.0
17,B-031,183786,2018,Hyundai,Santa Fe Sport,2.0T,WHITE,164733,Yes,4.0,2026-08-13,B,5600.0
20,B-033,183800,2013,Hyundai,Santa Fe Sport,"",WHITE,83819,Yes,3.8,2026-08-13,B,5000.0
9,U-039,183764,2011,INFINITI,EX35,"",MAROON,76897,Yes,3.7,2026-08-13,U,4000.0
14,B-102,180575,2008,INFINITI,QX56,"",BLACK,220243,Yes,"",2026-08-13,B,950.0
22,B-023,183759,2019,Kia,Sedona,EX,WHITE,139060,Yes,3.5,2026-08-13,B,3000.0
17,B-036,183789,2013,Kia,Sorento,"",BLACK,206298,Yes,"",2026-08-13,B,1000.0
24,B-034.2,183834,2016,Kia,Soul,"",BLUE,101878,Yes,2.9,2026-08-13,B,3000.0
14,B-014,183436,2011,Lexus,ES 350,"",BLACK,255338,Yes,"",2026-08-13,B,1200.0
23,B-078,183831,2010,Lexus,RX 350,"",BLUE,195525,Yes,2.5,2026-08-13,B,3400.0
17,B-034,183801,2015,Lincoln,MKX,"",WHITE,74835,Yes,3.8,2026-08-13,B,7500.0
9,B-062,183790,2019,Mitsubishi,Outlander,"",RED,175429,Yes,2.5,2026-08-13,B,1500.0
19,B-027,183783,2015,Nissan,Altima,2.5 S,BROWN,128583,Yes,3.5,2026-08-13,B,3100.0
18,B-021,183755,2012,Nissan,JUKE,SL,BLUE,156671,Yes,"",2026-08-13,B,1500.0
18,B-041,183654,2014,Nissan,Rogue,SL,GRAY,180093,Yes,3.8,2026-08-13,B,1500.0
19,B-029,183784,2015,Ram,2500,"",WHITE,207122,Yes,"",2026-08-13,B,5300.0
19,B-040,183818,2015,Subaru,Outback,"",GREEN,199858,Yes,3.8,2026-08-13,B,1800.0
16,B-024,183768,2005,Toyota,Camry,LE,GRAY,270822,Yes,"",2026-08-13,B,700.0
19,B-004,183805,2016,Toyota,Highlander,"",MAROON,126426,Yes,3.8,2026-08-13,B,9600.0
18,B-066,183792,2015,Volkswagen,Jetta,"",BLACK,156120,Yes,3.5,2026-08-13,B,1800.0
17,B-028,183754,2013,Volvo,S60,T5,BLACK,131042,Yes,4.0,2026-08-13,B,2600.0
