Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Price
24,A-0024,20976,2024,Acura,Integra,w/A-Spec Package,GRAY,58096,Yes,"",2026-09-02,A,23200.0
32,A-0063,20867,2016,Acura,MDX,w/Advance/Entertainment,BLUE,139751,Yes,"",2026-09-02,A,9400.0
30,A-0025,20977,2015,Acura,RDX,Tech Pkg,BLACK,126297,Yes,"",2026-09-02,A,5800.0
35,A-0020,21008,2015,Acura,TLX,V6 Tech,GRAY,160291,Yes,"",2026-09-02,A,6800.0
33,A-0075,20924,2020,Alfa Romeo,Stelvio,Base,RED,113597,Yes,"",2026-09-02,A,7000.0
21,A-0057,20824,2019,Audi,A5,Cabriolet Premium Plus,GRAY,44645,Yes,"",2026-09-02,A,23200.0
29,A-0050,20832,2020,Audi,Q5,Premium Plus,WHITE,64757,Yes,"",2026-09-02,A,16400.0
32,A-0136,20942,2013,BMW,3-Series,328i,WHITE,169211,Yes,"",2026-09-02,A,2100.0
30,A-0062,20903,2020,BMW,4-Series,440i,BLACK,82904,Yes,"",2026-09-02,A,17200.0
32,A-0128,20982,2018,BMW,4-Series,430i,BLACK,68951,Yes,"",2026-09-02,A,11800.0
32,A-0126,20981,2021,BMW,5-Series,540i,WHITE,58521,Yes,"",2026-09-02,A,30200.0
24,A-0097,20890,2018,BMW,5-Series,530i,WHITE,79863,Yes,"",2026-09-02,A,13000.0
33,A-0147,20957,2012,BMW,5-Series,535i,WHITE,165385,Yes,"",2026-09-02,A,3000.0
28,A-0138,20952,2012,BMW,7-Series,740Li,GRAY,104109,Yes,"",2026-09-02,A,3000.0
21,A-0129,20747,2024,BMW,iX,xDrive50,WHITE,23496,Yes,"",2026-09-02,A,41200.0
22,A-0055,20821,2013,BMW,X3,XDrive28i,GRAY,112091,Yes,"",2026-09-02,A,4900.0
32,A-0135,20937,2021,BMW,X5,xDrive45e,BLACK,70920,Yes,"",2026-09-02,A,29000.0
27,A-0141,20950,2018,BMW,X5,XDrive35i,BLACK,102058,Yes,"",2026-09-02,A,12400.0
32,A-0041,20936,2016,BMW,X5,XDrive35i,BLACK,141232,Yes,"",2026-09-02,A,8600.0
31,A-0080,20931,2021,BMW,X6,XDrive40i,GREEN,47277,Yes,"",2026-09-02,A,39000.0
34,A-0133,20985,2017,BMW,X6,XDrive35i,SILVER,174532,Yes,"",2026-09-02,A,6900.0
32,A-0140,20953,2021,BMW,X7,XDrive40i,WHITE,61374,Yes,"",2026-09-02,A,34000.0
24,A-0052,20838,2021,Cadillac,CT4,Sport,RED,46394,Yes,"",2026-09-02,A,25000.0
35,A-0127,20980,2011,Cadillac,Escalade,Luxury,BLACK,128262,Yes,"",2026-09-02,A,9500.0
37,A-0028,20943,2015,Cadillac,SRX,Luxury Collection,WHITE,133573,Yes,"",2026-09-02,A,2000.0
29,A-0100,20893,2019,Chevrolet,Cruze,LS,WHITE,76570,Yes,"",2026-09-02,A,8200.0
33,A-0134,20986,2019,Chevrolet,Equinox,LT,WHITE,72375,Yes,"",2026-09-02,A,10300.0
27,R-0002,20456,2016,Chevrolet,Equinox,LTZ,BLACK,161331,Yes,2.4,2026-09-02,R,1100.0
23,R-0013,20200,2023,Chevrolet,Malibu,LT,GRAY,76222,Yes,4.5,2026-09-02,R,5900.0
32,R-0005,20383,2019,Chevrolet,Malibu,LT,GRAY,103240,Yes,2.1,2026-09-02,R,2900.0
32,A-0103,20896,2021,Chevrolet,Silverado 1500,RST,BLACK,123679,Yes,"",2026-09-02,A,21000.0
31,A-0104,20897,2019,Chevrolet,Silverado 1500,RST,BLACK,168398,Yes,"",2026-09-02,A,19600.0
38,R-0006,20444,2018,Chevrolet,Suburban,Premier,WHITE,85594,Yes,2.9,2026-09-02,R,18600.0
30,A-0054,20827,2018,Dodge,Challenger,GT,BLACK,54801,Yes,"",2026-09-02,A,21900.0
25,R-0010,20593,2014,Dodge,Charger,RT,BLACK,130510,Yes,2.0,2026-09-02,R,2700.0
33,A-0089,20862,2021,Dodge,Durango,GT Plus,BLACK,104186,Yes,"",2026-09-02,A,15000.0
32,A-0001,20914,2010,Dodge,Ram 1500,SLT,GOLD,110795,Yes,"",2026-09-02,A,10200.0
25,A-0095,20883,2023,Ford,Bronco,Badlands,WHITE,7436,Yes,"",2026-09-02,A,42000.0
29,A-0110,20997,2021,Ford,Bronco Sport,Big Bend,GREEN,70589,Yes,"",2026-09-02,A,12700.0
24,A-0086,20871,2021,Ford,Bronco Sport,Big Bend,GREEN,45497,Yes,"",2026-09-02,A,17800.0
27,A-0021,21009,2018,Ford,Escape,SE,BLUE,98632,Yes,"",2026-09-02,A,5500.0
32,A-0006,20916,2013,Ford,Escape,S,SILVER,171865,Yes,"",2026-09-02,A,1600.0
