Picture Count,Run Number,Stock #,Year,Make,Model,Style,Color,Odometer,CR,Grade,Sale Date,Lane,Lot,Lights,VIN,Announcements
46,R-120,561140,2022,Chrysler,Pacifica,Limited,BLACK,49827,Yes,3.5,2026-09-03,R,120,Green,2C4RC1GG2NR114389,GREEN LIGHT
47,R-121,559877,2015,Mercedes-Benz,C Class,"",BLACK,99553,Yes,2.0,2026-09-03,R,121,Red,55SWF4JB1FU054061,AS-IS
44,R-126,557126,2014,Ram,1500,Tradesman,WHITE,131476,Yes,2.0,2026-09-03,R,126,"Green, Yellow",3C6JR6AT1EG292516,GREEN LIGHT UNIBODY/FRAME
39,R-128,560121,2021,Chevrolet,Silverado 2500,2500HD LT,WHITE,155211,Yes,3.7,2026-09-03,R,128,Red,1GC1WNE72MF226145,AS-IS
31,R-134,561945,2013,Volvo,S60,T5,GRAY,97929,Yes,3.5,2026-09-03,R,134,Green,YV1612FH2D2191313,GREEN LIGHT
40,R-135,561261,2016,Toyota,Camry,SE,GRAY,118897,Yes,3.5,2026-09-03,R,135,Green,4T1BF1FK5GU127699,GREEN LIGHT
45,R-141,558957,2017,Chevrolet,Sonic,LT,SILVER,79777,Yes,2.4,2026-09-03,R,141,Red,1G1JD5SH3H4113060,AS-IS
42,R-142,558756,2018,Land Rover,Range Rover Velar,S,WHITE,85300,Yes,2.0,2026-09-03,R,142,Red,SALYB2RN1JA744198,AS-IS
44,R-146,556975,2016,Ram,1500,SLT,BLACK,119123,Yes,2.5,2026-09-03,R,146,Red,1C6RR7GT3GS390619,AS-IS
49,R-149,559621,2015,Kia,Sedona,LX,GRAY,132280,Yes,2.5,2026-09-03,R,149,Red,KNDMB5C12F6042964,AS-IS
52,R-152,557070,2009,Dodge,Charger,R/T,RED,143259,Yes,2.0,2026-09-03,R,152,Red,2B3KA53T89H620145,AS-IS UNIBODY / FRAME
40,R-154,559844,2018,Ford,Fusion,HYBRID SE,SILVER,149093,Yes,2.0,2026-09-03,R,154,Red,3FA6P0LU7JR242330,AS-IS
55,R-157,557280,2015,Ford,Taurus,SEL,SILVER,157973,Yes,2.0,2026-09-03,R,157,Red,1FAHP2E83FG149663,AS-IS UNIBODY / FRAME
62,R-166,561838,2016,Ford,F350SD,"",WHITE,293155,Yes,2.0,2026-09-03,R,166,"Red, Yellow",1FT8W3BT9GEC01225,"AS-IS, RUST UNIBODY / FRAME"
47,R-167,560090,2011,Chevrolet,Silverado 1500,LTZ,WHITE,296604,Yes,2.8,2026-09-03,R,167,Red,3GCPKTE3XBG234335,AS-IS
46,R-168,560770,2012,Toyota,Avalon,LIMITED,WHITE,299727,Yes,2.0,2026-09-03,R,168,Red,4T1BK3DB4CU441364,AS-IS UNIBODY / FRAME
38,S-001,564211,2021,Honda,Odyssey,Touring,GRAY,43057,Yes,4.0,2026-09-03,S,001,Green,5FNRL6H81MB040199,NAAA SILVER CERTIFIED
28,S-002,564546,2018,Toyota,Tundra,SR5 5.7L V8,ORANGE,89815,Yes,4.4,2026-09-03,S,002,"Green, Blue",5TFEY5F12JX234208,NAAA SILVER CERTIFIED
31,S-004,564757,2019,GMC,Yukon,Denali,BLACK,120883,Yes,3.5,2026-09-03,S,004,Blue,1GKS2CKJ2KR268142,""
43,S-006,564138,2019,Tesla,Model 3,MID RANGE,WHITE,58299,Yes,3.5,2026-09-03,S,006,Blue,5YJ3E1EA0KF425230,""
29,S-008,564058,2021,Toyota,Camry,SE,WHITE,81639,Yes,4.5,2026-09-03,S,008,Green,4T1G11AK4MU430593,NAAA SILVER CERTIFIED
26,S-009,565176,2022,Hyundai,Elantra,Limited,GRAY,28555,Yes,4.1,2026-09-03,S,009,Blue,KMHLP4AG8NU366960,""
32,S-011,564209,2014,Mercedes-Benz,E Class,E 350,BLACK,61061,Yes,3.9,2026-09-03,S,011,Green,WDDKK5KF9EF267584,GREEN LIGHT
31,S-013,565136,2023,Chrysler,Pacifica,Touring L,WHITE,88782,Yes,3.8,2026-09-03,S,013,"",2C4RC1BG2PR532669,""
33,S-015,565109,2022,Chevrolet,Colorado, LT,WHITE,43570,Yes,3.0,2026-09-03,S,015,Blue,1GCHSCEAXN1245776,UNIBODY / FRAME
38,S-018,564169,2017,Subaru,Forester,PREMIUM,SILVER,44183,Yes,2.6,2026-09-03,S,018,"Green, Yellow",JF2SJAGC2HH582516,NAAA SILVER CERTIFIED UNIBODY FRAME
26,S-019,565133,2019,Subaru,Crosstrek,Premium,GRAY,107104,Yes,4.7,2026-09-03,S,019,"",JF2GTAEC2KH326368,""
34,S-021,564065,2018,Jeep,Cherokee,Limited,GRAY,35047,Yes,4.0,2026-09-03,S,021,"",1C4PJLDB5JD553830,""
40,S-022,565027,2017,Lincoln,MKZ,Select,RED,94672,Yes,3.1,2026-09-03,S,022,Blue,3LN6L5C96HR664741,""
38,S-024,564206,2015,Toyota,Tacoma,BASE V6,BROWN,210992,Yes,1.6,2026-09-03,S,024,Red,3TMMU4FN2FM077460,AS IS
45,S-026,561298,2019,Cadillac,CTS,SEDAN LUXURY,BLACK,68680,Yes,2.3,2026-09-03,S,026,"",1G6AX5SX7K0105812,UNIBODY / FRAME
30,S-027,564887,2011,BMW,1-Series,128i,BLUE,39947,Yes,4.2,2026-09-03,S,027,Green,WBAUL7C55BVM80757,GREEN LIGHT
30,S-029,564207,2014,Honda,CR-V,EX-L,BLUE,158572,Yes,2.9,2026-09-03,S,029,"",2HKRM3H71EH546461,""
32,S-030,564212,2004,Ford,Mustang,DELUXE,BLACK,43435,Yes,3.6,2026-09-03,S,030,Red,1FAFP44624F192302,AS IS
1,S-031,565222,2017,Volkswagen,Tiguan,S,GRAY,75244,No,"",2026-09-03,S,031,Blue,WVGAV7AX7HK053669,""
34,S-032,564177,2015,Ford,Fusion,SE,WHITE,89455,Yes,2.3,2026-09-03,S,032,"Green, Blue",3FA6P0H70FR134934,GREEN LIGHT
44,S-033,563657,2016,Subaru,Crosstrek,Premium,BLUE,72261,Yes,2.4,2026-09-03,S,033,"Red, Yellow, Blue",JF2GPABC9G8205093,"AS IS REBUILT,SALVAGE UNIBODY"
50,S-035,565014,2014,Toyota,Camry,SE,SILVER,134034,Yes,1.7,2026-09-03,S,035,"",4T1BF1FK7EU858387,UNIBODY
1,S-036,565204,2016,Chevrolet,Traverse,LTZ,BLACK,110764,No,"",2026-09-03,S,036,Blue,1GNKVJKD1GJ302487,""
31,S-037,565033,2015,Ford,Mustang,GT PREMIUM,ORANGE,248243,Yes,2.8,2026-09-03,S,037,Blue,1FA6P8CFXF5347874,""
46,S-038,564432,2014,Toyota,Prius,TWO,WHITE,111221,Yes,2.3,2026-09-03,S,038,Blue,JTDKN3DUXE1754923,""
47,S-039,565203,2017,Kia,Forte,LX,GRAY,84716,Yes,1.6,2026-09-03,S,039,Blue,3KPFK4A70HE024731,""
32,S-041,564042,2017,Mini,Cooper,"",BLUE,41335,Yes,2.2,2026-09-03,S,041,Blue,WMWXU1C38H2F78328,UNIBODY / FRAME
36,S-042,565200,2012,Toyota,Sienna,LE V6 8 PASSE,SILVER,147417,Yes,3.4,2026-09-03,S,042,Blue,5TDKK3DC5CS249551,""
30,S-043,565201,2017,Volkswagen,Tiguan,S,BLACK,91414,Yes,3.9,2026-09-03,S,043,Blue,WVGAV7AX0HK045834,""
35,S-045,562140,2013,Chevrolet,Cruze,1LT,RED,52471,Yes,2.4,2026-09-03,S,045,"Green, Yellow",1G1PC5SB5D7235047,GREEN LIGHT UNIBODY/FRAME
39,S-046,565129,2009,Volkswagen,Rabbit,S,GRAY,69329,Yes,2.1,2026-09-03,S,046,"",WVWDA71K79W125384,UNIBODY
31,S-047,565196,2000,Mercedes-Benz,SL Class,2DR ROADSTE,GOLD,52238,Yes,2.4,2026-09-03,S,047,Blue,WDBFA68F0YF189047,UNIBODY
39,S-048,564261,2007,Toyota,Avalon,LIMITED,WHITE,135021,Yes,2.2,2026-09-03,S,048,"",4T1BK36B77U210445,EXEMPT
37,S-049,565199,2019,Ford,Escape,SEL,WHITE,94927,Yes,2.5,2026-09-03,S,049,Blue,1FMCU0HD5KUA12063,""
47,S-051,561078,2018,Kia,Sorento,LX,PURPLE,136748,Yes,1.8,2026-09-03,S,051,"Red, Yellow",5XYPG4A3XJG419558,AS IS UNIBODY
40,S-052,564045,2008,Nissan,Maxima,3.5 SL,BLACK,63588,Yes,2.7,2026-09-03,S,052,Red,1N4BA41E38C828678,AS IS
44,S-053,565020,2008,Toyota,Prius,STANDARD,GREEN,96794,Yes,1.3,2026-09-03,S,053,"",JTDKB20U487736525,""
56,S-054,564269,2012,Toyota,Camry,LE,SILVER,190079,Yes,2.6,2026-09-03,S,054,"",4T1BF1FK0CU170826,""
1,S-055,565223,2009,Ford,F150,XL,WHITE,242380,No,"",2026-09-03,S,055,Blue,1FTRF12W39KC82651,""
43,S-056,564736,2007,Ford,E350 Vans,"",WHITE,97857,Yes,1.3,2026-09-03,S,056,"",1FBSS31L07DA38560,LOCAL GOVERNMENT
31,S-057,564606,2011,Mazda,Mazda2,SPORT,GREEN,158006,Yes,2.5,2026-09-03,S,057,"Red, Yellow",JM1DE1HY1B0114563,AS IS UNIBODY
37,S-058,564564,2005,Lincoln,Town Car,SIGNATURE L,TAN,124952,Yes,2.4,2026-09-03,S,058,"Red, Yellow",1LNHM82W05Y654265,AS IS UNIBODY EXEMPT
44,S-059,564549,2013,Chrysler,Town & Country,TOURI,BLACK,154809,Yes,2.0,2026-09-03,S,059,Blue,2C4RC1BG8DR631542,""
49,S-060,563840,2004,Ford,Explorer,XLS,GRAY,139574,Yes,1.5,2026-09-03,S,060,Red,1FMZU62K94UA48913,AS IS
33,S-061,565016,2010,BMW,3-Series,328i,WHITE,123746,Yes,1.7,2026-09-03,S,061,"",WBAPH7G56ANM50447,UNIBODY / FRAME
30,S-062,565195,2015,Chrysler,200,S,WHITE,141872,Yes,3.9,2026-09-03,S,062,"",1C3CCCBB7FN737099,TOTAL LOSS ODO DISREPENCY THEFT RECOVERY
30,S-063,564756,2013,Jeep,Compass,Latitude,BLUE,104643,Yes,2.8,2026-09-03,S,063,Blue,1C4NJCEA5DD190950,""
34,S-064,564264,2012,Kia,Sorento,LX,SILVER,188083,Yes,2.1,2026-09-03,S,064,"",5XYKT4A2XCG255261,UNIBODY
31,S-065,564151,2009,Jeep,Wrangler,X,WHITE,112653,Yes,3.9,2026-09-03,S,065,Red,1J4FA24159L730109,AS IS EXEMPT
53,S-066,564558,2008,Toyota,Camry Solara,SLE,GRAY,207960,Yes,1.6,2026-09-03,S,066,"",4T1FA38P38U140215,EXEMPT WATER DAMAGE  UNIBODY
52,S-067,565198,2015,Nissan,Altima,2.5 S,SILVER,140308,Yes,1.7,2026-09-03,S,067,Blue,1N4AL3AP8FC289652,UNIBODY
30,S-068,565110,2013,Ford,Escape,SE,WHITE,83014,Yes,2.4,2026-09-03,S,068,Blue,1FMCU0GX0DUD33121,UNIBODY/FRAME
34,W-001,563746,2022,Kia,K5,GT-LINE,GRAY,79710,Yes,4.2,2026-09-03,W,001,"Green, Blue",5XXG64J20NG133352,BWC 7 DAY
35,W-002,564013,2023,Kia,Sorento,LX,SILVER,80198,Yes,3.8,2026-09-03,W,002,"Green, Blue",5XYRGDLC8PG197147,BWC 7 DAY
31,W-004,563570,2020,Nissan,Rogue,S,WHITE,59597,Yes,3.6,2026-09-03,W,004,Green,5N1AT2MT5LC779390,BWC 7 DAY
37,W-005,563910,2024,Hyundai,Venue,SEL,BLUE,35383,Yes,3.5,2026-09-03,W,005,"Green, Blue",KMHRC8A39RU294408,BWC 7 DAY
37,W-007,561147,2020,Toyota,Corolla,LE,BLACK,56546,Yes,2.7,2026-09-03,W,007,Green,JTDEPRAE0LJ015273,BWC 7 DAY
45,W-008,563623,2022,Mitsubishi,Outlander,SE,BLUE,92764,Yes,2.5,2026-09-03,W,008,Green,JA4J4UA88NZ029652,BWC 7 DAY
51,W-010,564277,2023,Nissan,Rogue,SV,SILVER,87154,Yes,2.3,2026-09-03,W,010,"Green, Blue",JN8BT3BA6PW002824,BWC 7 DAY
39,W-011,563801,2016,Volkswagen,Tiguan,SEL,WHITE,70586,Yes,2.1,2026-09-03,W,011,"Green, Yellow",WVGBV7AXXGW509711,BWC 7 DAY UNIBODY
64,W-013,509634,2020,Toyota,Corolla,LE,RED,84662,Yes,2.0,2026-09-03,W,013,"Green, Blue",5YFEPRAE6LP094184,"BWC 7 DAY,UNIBODY/FRAME"
35,W-016,563276,2018,Kia,Optima,LX,SILVER,123702,Yes,4.1,2026-09-03,W,016,Green,5XXGT4L39JG178900,BWC 3 DAY
38,W-018,555845,2017,Chevrolet,Silverado 1500,LT,WHITE,117336,Yes,3.7,2026-09-03,W,018,"Green, Blue",3GCPCREC8HG294347,BWC 3 DAY
36,W-019,561761,2020,Hyundai,Elantra,SEL,BLUE,112169,Yes,2.5,2026-09-03,W,019,Green,5NPD84LFXLH528234,BWC 3 DAY
61,W-020,554317,2018,Mercedes-Benz,Metris,STANDARD ROOF,BLACK,119666,Yes,2.0,2026-09-03,W,020,"Green, Yellow",WD4PG2EE4J3438455,BWC 3 DAY UNIBODY FRAME
47,W-022,555918,2017,Ram,1500,BIG HORN,BLACK,113593,Yes,2.0,2026-09-03,W,022,"Green, Yellow, Blue",1C6RR7GT4HS698674,BWC 3 DAY UNIBODY FRAME
47,W-023,564425,2019,Nissan,Altima,2.5 SV,RED,114828,Yes,2.0,2026-09-03,W,023,"Green, Blue",1N4BL4DV1KC159310,BWC 3 DAY
31,W-024,559417,2019,Ford,T350 Vans,"",WHITE,112159,Yes,2.0,2026-09-03,W,024,"Green, Blue",1FBZX2ZM4KKA47581,BWC 3 DAY
34,W-027,559144,2021,Volkswagen,Tiguan,SE,RED,126070,Yes,3.6,2026-09-03,W,027,"Green, Yellow",3VV3B7AX7MM012467,GREEN LIGHT OIL LEAK
31,W-028,562526,2020,Toyota,RAV4,Hybrid Limited,SILVER,41311,Yes,4.1,2026-09-03,W,028,"Green, Yellow",JTMDWRFV5LD537547,"GREEN LIGHT, COLLISION AVOIDANCE LIGHT"
31,W-030,564232,2019,Nissan,Rogue,SV,WHITE,144163,Yes,3.6,2026-09-03,W,030,"Green, Blue",KNMAT2MT4KP531031,GREEN LIGHT
30,W-031,562725,2014,Buick,Enclave,Premium,SILVER,133747,Yes,3.0,2026-09-03,W,031,"Green, Yellow, Blue",5GAKRCKD1EJ115192,GREEN LIGHT TRANS SHUDDER
35,W-033,561159,2019,Nissan,Pathfinder,SL,SILVER,117681,Yes,2.9,2026-09-03,W,033,"Green, Yellow",5N1DR2MN7KC642916,GREEN LIGHT ENG LIGHT
40,W-034,563628,2015,Mercedes-Benz,CLA Class,"",WHITE,148526,Yes,2.7,2026-09-03,W,034,Green,WDDSJ4EB6FN213558,GREEN LIGHT
39,W-036,564027,2018,Honda,Accord,SEDAN TOURING,BROWN,140324,Yes,2.7,2026-09-03,W,036,"Green, Blue",1HGCV1F93JA193963,GREEN LIGHT
46,W-037,556369,2014,Toyota,Tacoma, REG CAB I,RED,124967,Yes,2.5,2026-09-03,W,037,"Green, Yellow, Blue",5TFNX4CNXEX033876,GREEN LIGHT TRANS SHUDDER
56,W-039,563340,2020,Ram,1500,Tradesman,WHITE,105855,Yes,2.4,2026-09-03,W,039,"Green, Yellow",1C6SRECG6LN385938,GREEN LIGHT ENG LIGHT TRACTION LIGHT
41,W-040,563762,2020,Nissan,Rogue,S,GRAY,75640,Yes,2.0,2026-09-03,W,040,"Green, Yellow, Blue",5N1AT2MT2LC807937,"GREEN LIGHT, TOTAL LOSS, SALVAGE/REBUILT, UNIBODY/FRAME"
41,W-041,564288,2020,Nissan,Altima,2.5 SR,GRAY,161778,Yes,2.0,2026-09-03,W,041,"Green, Yellow, Blue",1N4BL4CV1LN310301,GREEN LIGHT ENG LIGHT
40,W-042,563625,2016,Nissan,Maxima,3.5 PLATINUM,BLUE,149770,Yes,2.0,2026-09-03,W,042,"Green, Yellow, Blue",1N4AA6AP3GC414243,GREEN LIGHT UNIBODY / FRAME
